Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
37,15000,39,52,0,43
32,0,39,31,0,43
32,0,39,30,0,43
32,0,39,35,0,43
33,0,40,30,0,43
31,0,40,29,0,43
31,0,40,29,0,43
30,16000,40,28,0,44
32,15000,40,30,0,44
41,0,41,29,0,44
30,0,41,28,0,44
31,0,41,30,0,32
45,0,41,30,0,33
31,0,42,30,0,33
30,0,42,31,0,33
30,0,42,29,0,33
29,0,42,29,0,33
30,0,43,29,16000,33
29,0,43,29,0,33
29,0,43,29,0,34
30,0,43,28,0,34
29,0,43,29,0,34
30,0,44,37,0,34
30,0,44,30,0,34
31,0,44,41,0,34
29,0,44,53,0,35
31,0,44,43,0,35
31,0,44,30,0,35
29,0,45,30,15000,35
29,0,45,48,0,35
29,0,45,34,0,35
29,16000,45,36,0,35
31,0,45,33,0,35
30,0,46,38,0,36
29,0,46,36,0,36
30,0,46,30,0,36
29,0,46,29,0,36
30,0,46,29,0,36
30,0,46,29,0,36
29,0,47,30,0,36
30,0,35,29,0,37
29,16000,36,30,31000,37
29,0,36,31,0,37
30,0,36,29,0,37
29,0,36,30,0,37
29,0,36,29,0,37
37,0,37,31,0,38
30,0,37,29,0,38
29,0,37,29,0,38
43,0,37,29,0,38
30,0,37,29,0,38
29,0,37,30,0,38
29,0,38,28,0,38
30,0,38,28,0,39
29,0,38,41,0,39
31,0,38,31,0,39
30,0,39,28,0,39
29,0,39,29,0,39
30,0,39,29,0,39
29,15000,39,29,0,39
29,0,39,31,0,39
29,16000,40,32,0,40
31,31000,40,45,15000,40
28,0,40,30,0,40
31,0,40,29,0,40
29,0,41,28,0,40
33,0,41,31,0,40
58,16000,41,29,0,40
34,0,41,29,0,40
34,0,41,31,0,41
44,0,41,29,0,41
58,0,42,28,0,41
28,0,42,30,0,41
29,0,42,38,0,41
28,0,42,29,0,41
31,0,42,30,16000,41
38,0,43,29,0,42
30,0,43,28,0,42
29,15000,43,30,0,42
30,0,43,29,0,42
40,0,43,30,0,42
29,16000,44,28,0,42
29,0,44,29,15000,42
37,16000,44,29,0,42
32,15000,44,35,16000,43
29,0,44,29,0,43
28,0,44,29,0,43
29,0,45,29,0,43
30,16000,45,29,0,43
29,16000,45,29,0,43
29,0,45,28,0,43
29,0,45,29,15000,44
37,0,46,50,0,44
29,0,46,29,0,44
30,0,46,29,0,44
28,0,46,35,0,44
29,0,46,50,0,44
37,0,46,49,0,44
30,0,47,29,0,44
29,0,47,41,0,45
30,0,47,30,0,45
30,0,47,29,0,35
29,0,47,30,0,35
30,0,48,28,0,35
30,0,48,29,0,35
30,0,48,29,0,36
28,0,48,29,0,36
29,0,38,29,0,36
29,0,38,29,0,36
29,0,38,27,0,36
28,0,38,29,0,36
29,0,38,29,0,36
30,15000,39,30,16000,36
28,0,39,29,0,37
29,0,39,30,0,37
28,0,39,28,0,37
