Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
34,0,31,57,0,30
31,0,31,49,0,31
31,0,31,31,0,31
31,0,32,30,0,31
32,0,32,30,0,31
30,0,32,29,0,31
31,0,32,28,0,31
31,0,32,30,0,32
32,0,33,30,0,32
31,0,33,30,0,32
31,0,33,31,16000,32
31,0,33,39,47000,30
29,0,33,43,0,30
31,0,34,31,16000,30
30,0,34,29,0,30
30,0,34,45,0,30
29,0,34,28,0,31
29,16000,34,28,0,31
29,0,35,29,0,30
30,0,35,30,16000,30
29,16000,35,30,0,30
29,0,35,31,0,30
29,0,35,32,16000,31
28,0,36,28,0,31
30,0,36,29,15000,30
29,0,36,27,0,30
30,0,36,30,0,31
30,0,37,28,0,31
29,16000,37,28,0,31
35,0,37,28,0,31
29,0,37,28,0,30
28,0,37,28,0,31
44,0,38,28,0,31
28,0,38,28,0,31
29,0,38,29,16000,31
29,0,38,29,0,31
29,0,38,29,0,31
29,0,39,27,0,31
30,0,39,29,0,31
30,0,39,28,0,31
29,0,39,30,0,31
29,0,39,35,31000,31
28,0,40,37,0,31
31,0,40,28,0,31
29,0,40,37,0,31
28,0,40,28,0,31
30,0,40,29,0,31
29,0,40,30,0,31
29,0,41,29,0,31
29,0,41,28,0,32
28,0,41,43,0,32
29,15000,41,28,0,32
29,0,41,58,0,32
29,0,42,28,0,32
29,0,42,33,0,32
30,0,42,38,0,31
29,0,42,28,0,31
29,0,42,28,0,31
29,0,43,29,0,32
29,0,43,28,15000,32
29,0,43,28,0,32
30,0,43,30,0,32
30,0,43,29,0,32
30,16000,44,28,0,32
29,0,44,34,0,32
28,0,44,28,0,32
45,0,44,29,0,33
29,0,44,29,47000,31
29,16000,33,31,0,32
32,0,33,28,0,32
30,0,33,29,0,32
28,0,33,29,0,32
29,0,34,28,0,32
29,0,34,28,0,32
29,0,34,31,0,33
29,0,34,36,16000,33
30,0,34,29,0,33
30,0,35,30,0,33
29,0,35,30,15000,32
28,0,35,29,0,32
29,0,35,28,0,32
28,0,35,30,0,32
29,15000,36,29,0,32
29,0,36,29,0,32
28,16000,36,28,0,33
29,0,37,28,0,33
29,31000,37,44,0,33
28,0,37,28,0,33
29,16000,37,29,0,33
29,0,37,28,0,33
32,15000,38,27,0,32
29,0,38,28,0,32
29,0,38,28,0,32
28,0,38,28,16000,32
31,16000,38,28,0,33
42,0,39,27,0,33
29,0,39,28,0,33
28,0,39,27,0,33
32,0,39,28,0,33
28,0,39,29,0,33
29,0,39,28,0,33
29,0,40,29,0,33
29,0,40,29,0,34
43,16000,40,28,15000,32
29,0,40,28,0,32
28,0,40,28,0,32
31,0,41,29,0,33
29,0,41,28,0,33
29,0,41,28,0,33
29,0,41,28,0,33
29,0,41,27,0,33
28,0,41,28,0,33
30,15000,42,29,16000,34
30,0,42,34,16000,34
29,0,42,31,0,33
29,0,42,34,0,33
28,0,42,28,0,33
30,0,42,27,0,33
29,16000,43,28,0,33
28,0,43,27,0,33
30,0,43,27,0,33
29,0,43,29,0,34
29,0,43,29,15000,34
29,0,44,29,0,34
29,0,44,27,0,34
28,0,44,27,0,34
29,0,44,28,0,34
30,0,44,28,0,34
30,0,44,29,16000,34
31,16000,35,33,0,35
30,0,35,28,31000,35
30,15000,35,27,0,35
29,0,35,28,0,35
28,16000,35,28,0,35
29,0,35,27,0,35
28,0,36,28,16000,36
30,0,36,28,0,36
30,0,36,28,0,36
30,0,36,27,0,36
31,0,36,28,0,36
37,0,37,28,0,36
35,0,37,29,0,33
34,15000,37,28,0,33
46,0,37,27,0,34
30,16000,37,33,0,34
29,0,37,29,16000,34
42,0,38,28,0,34
29,0,38,27,0,34
32,0,38,28,16000,34
30,0,38,29,0,34
31,16000,38,28,15000,34
29,0,38,28,0,35
29,0,39,61,0,35
29,15000,39,40,0,35
28,16000,39,29,0,35
29,0,39,30,0,35
29,0,39,27,0,35
31,0,39,28,0,35
56,0,40,28,0,35
32,0,40,28,0,36
30,0,40,27,0,36
30,0,40,28,0,36
29,0,40,28,0,36
31,0,41,40,0,36
30,0,41,28,0,36
36,0,41,28,0,36
73,0,41,27,0,36
38,0,41,29,0,34
33,0,41,27,0,34
31,0,42,28,0,34
30,31000,42,28,0,34
31,15000,42,28,0,34
30,0,42,29,0,35
61,16000,42,29,0,35
30,0,43,31,0,35
53,0,43,27,0,35
30,16000,43,27,0,35
29,0,43,28,0,35
30,0,43,27,0,35
30,0,43,27,0,35
29,0,44,27,0,36
30,0,44,29,0,36
31,0,44,27,0,36
57,0,44,27,0,36
29,0,44,29,0,36
30,0,45,28,0,36
29,15000,45,27,0,36
30,0,45,27,0,36
30,0,45,27,0,37
29,0,46,28,0,37
30,0,46,28,31000,37
30,0,46,30,0,37
29,0,46,27,0,37
29,0,46,28,0,37
30,0,46,27,0,34
30,0,47,28,0,35
29,0,47,29,0,35
29,0,47,28,0,35
29,0,47,27,0,35
30,0,36,28,0,35
28,0,37,27,0,35
30,0,37,27,0,35
29,16000,37,33,15000,36
29,0,37,29,0,36
30,0,37,29,0,36
31,0,37,35,0,36
30,0,38,28,0,36
31,0,38,28,0,36
29,0,38,27,16000,36
30,0,38,29,0,36
34,0,38,28,0,37
29,0,39,29,0,37
28,15000,39,28,0,37
29,0,39,27,0,37
29,16000,39,29,0,37
29,0,39,28,16000,35
30,0,39,29,0,35
29,0,40,30,0,35
31,0,40,28,0,35
29,0,40,29,0,35
29,0,40,28,0,35
28,0,40,28,0,36
30,0,40,27,0,36
29,0,41,35,0,36
30,0,41,34,0,36
30,0,41,28,0,36
31,0,41,29,0,36
29,0,41,27,0,36
29,0,42,28,0,36
29,0,42,28,0,37
29,0,42,28,0,37
29,0,42,28,0,37
30,15000,42,27,0,37
29,0,42,28,0,37
30,0,43,28,16000,37
57,0,43,28,0,38
29,0,43,32,0,38
30,16000,43,31,0,38
28,0,44,29,0,38
30,0,44,29,0,38
30,0,44,32,0,38
30,0,44,27,16000,38
30,0,44,28,46000,30
28,0,44,29,16000,30
38,0,45,28,0,30
29,0,45,28,0,30
29,0,45,27,16000,31
35,0,45,30,0,31
29,0,45,29,15000,31
29,0,45,29,0,31
30,0,46,27,0,31
33,0,46,29,0,31
28,0,46,27,0,31
31,0,46,28,0,31
29,0,46,28,0,32
31,16000,46,27,0,32
29,0,47,28,0,32
28,0,47,27,0,32
29,0,47,27,0,32
30,0,47,27,0,32
31,0,47,28,0,32
29,16000,31,27,0,33
30,0,31,28,0,33
30,0,31,27,0,33
29,0,31,27,0,33
28,0,31,28,0,33
29,0,32,29,0,33
29,0,31,29,0,33
28,0,31,28,0,33
29,0,31,28,0,34
30,0,32,41,0,34
30,15000,32,28,0,34
30,0,32,27,0,34
29,0,32,28,16000,34
29,0,32,29,0,34
28,0,31,27,16000,34
29,16000,31,29,0,34
28,0,31,27,0,35
31,0,32,28,0,35
31,15000,32,52,0,35
30,16000,32,29,0,35
29,0,32,27,0,35
30,0,32,48,0,35
30,0,33,27,0,35
29,0,33,29,0,35
30,0,31,28,0,36
28,0,32,28,0,36
30,0,32,30,16000,36
29,0,32,28,0,36
55,0,32,29,31000,36
30,0,32,29,0,36
28,0,32,30,0,36
32,0,33,28,0,36
29,0,33,28,0,37
31,0,33,43,0,37
30,0,32,33,16000,31
31,15000,32,27,0,31
28,0,32,29,0,32
29,0,32,28,0,32
29,0,32,27,15000,32
64,0,33,28,0,32
58,16000,33,28,16000,32
63,0,33,37,15000,32
42,0,33,28,0,32
77,16000,33,29,0,32
64,0,32,28,0,33
58,15000,32,27,0,33
30,0,32,28,0,33
28,0,32,27,0,33
30,0,33,28,0,33
32,0,33,27,0,33
30,0,33,28,0,33
29,0,33,28,0,34
39,0,32,27,0,34
29,0,32,27,0,34
31,0,32,28,0,34
29,0,33,46,0,34
27,0,33,28,0,34
29,0,33,28,0,34
29,16000,33,28,0,34
62,15000,33,36,0,35
42,0,33,29,0,35
30,0,34,28,0,35
31,0,32,27,0,35
31,0,32,28,0,35
30,0,33,28,16000,35
28,0,33,28,0,35
29,0,33,28,0,36
29,16000,33,27,16000,36
29,0,34,28,0,36
29,0,34,28,0,36
30,0,34,28,0,36
30,0,34,28,0,36
31,0,33,29,0,36
29,0,33,56,0,36
29,0,33,29,0,37
28,0,33,28,0,37
28,0,33,27,15000,37
28,0,34,28,0,37
28,0,34,28,0,37
29,0,34,27,0,37
29,16000,34,28,0,37
28,15000,34,28,0,37
32,0,35,28,0,32
29,0,35,27,0,33
35,0,35,27,0,33
30,0,35,28,0,33
28,0,35,27,0,33
43,0,35,28,0,33
28,0,36,28,0,33
30,0,36,28,0,33
29,0,36,29,0,34
30,16000,36,28,0,34
30,31000,36,28,0,34
29,0,36,32,0,34
29,0,33,28,0,34
29,0,34,51,0,34
29,0,34,28,0,34
30,0,34,28,0,34
29,0,34,44,0,35
31,0,34,29,0,35
28,15000,34,29,16000,35
30,0,35,29,0,35
28,0,35,30,0,35
28,0,35,28,0,35
29,0,35,29,0,35
28,0,35,28,0,35
30,16000,36,27,16000,36
29,0,36,28,0,36
29,0,36,27,0,36
28,0,36,27,0,36
29,0,36,28,0,36
28,0,34,27,0,36
29,15000,34,28,0,36
28,0,34,27,15000,37
28,0,34,28,0,37
32,0,35,27,16000,37
29,0,35,28,0,37
28,32000,35,27,0,37
29,0,35,27,0,37
28,15000,35,28,16000,37
27,0,35,28,0,37
47,16000,36,29,0,38
28,0,36,28,0,38
28,0,36,28,0,38
33,0,36,30,15000,38
29,16000,36,30,16000,38
28,0,37,29,0,38
29,16000,37,31,0,33
28,0,37,28,0,34
28,0,34,28,0,34
28,0,35,27,0,34
32,0,35,29,0,34
28,0,35,27,0,34
30,0,35,29,0,34
30,0,35,29,0,34
30,16000,35,28,0,34
28,0,36,30,0,35
28,0,36,27,15000,35
58,0,36,28,0,35
29,0,36,38,0,35
30,15000,36,27,16000,35
29,0,36,28,0,35
30,16000,37,28,0,35
35,0,37,28,0,36
29,0,37,28,0,36
28,0,37,27,0,36
28,0,35,28,0,36
29,0,35,30,0,36
29,0,35,28,0,36
30,0,35,28,0,36
30,15000,35,28,0,36
30,16000,36,28,0,37
29,16000,36,28,0,37
28,0,36,28,0,37
29,0,36,28,16000,37
28,0,36,28,0,37
28,0,36,30,0,37
28,0,37,28,0,38
30,0,37,28,15000,38
30,0,37,28,0,38
29,0,37,29,0,38
28,0,37,28,0,38
35,0,38,29,0,38
28,0,38,28,0,38
29,0,38,29,0,38
36,0,38,30,0,39
29,0,35,28,16000,39
29,0,36,28,0,39
29,0,36,27,0,39
30,0,36,28,0,39
28,0,36,28,0,39
29,0,36,29,0,35
29,0,36,28,0,35
28,16000,37,32,0,35
46,0,37,28,0,35
28,0,37,28,0,35
30,15000,37,29,0,35
28,0,37,29,16000,35
29,0,37,30,15000,36
28,0,38,28,0,36
30,16000,38,28,0,36
28,0,38,28,0,36
30,15000,36,28,0,36
29,0,36,29,0,36
28,0,36,28,0,36
32,0,36,27,0,36
29,0,36,28,16000,37
45,0,37,28,0,37
29,16000,37,29,0,37
28,0,37,27,0,37
28,0,37,29,0,37
30,16000,37,28,16000,37
28,0,37,29,0,37
28,0,38,41,15000,37
28,0,38,29,0,38
28,0,38,27,0,38
42,0,38,43,0,38
30,0,38,28,16000,38
28,0,38,28,0,38
44,0,39,27,0,38
29,0,39,28,0,38
29,0,39,28,0,38
28,0,39,28,0,39
29,78000,30,28,0,39
30,0,30,28,0,39
31,0,30,28,0,39
29,0,30,28,16000,39
30,0,31,28,0,39
60,0,31,29,0,39
30,0,31,27,0,40
30,0,31,28,0,40
30,0,31,27,0,40
30,0,31,36,0,40
34,0,32,28,0,40
38,0,32,28,0,40
31,0,32,29,0,40
31,15000,32,40,0,40
29,0,32,28,0,41
31,0,32,27,0,41
32,0,33,27,0,41
29,0,33,27,0,36
28,16000,33,28,16000,36
28,0,33,27,0,36
29,0,33,30,0,36
28,16000,33,27,0,36
29,0,34,28,0,36
30,0,34,27,0,36
31,15000,34,32,0,36
28,16000,34,29,0,37
29,0,34,28,0,37
29,0,34,29,0,37
30,0,35,29,0,37
34,0,35,30,0,37
28,0,35,64,0,37
37,0,35,31,0,37
31,0,35,76,0,37
30,0,35,38,15000,38
34,0,36,31,0,38
29,0,36,29,0,38
30,0,36,28,0,38
28,0,36,28,16000,38
38,0,36,29,0,38
29,0,36,28,0,38
28,0,37,28,0,39
28,0,37,28,0,39
29,31000,37,28,0,39
29,0,31,27,0,39
30,0,31,27,0,39
29,0,31,27,0,39
28,0,32,29,16000,39
29,0,32,27,0,39
28,0,32,28,0,39
30,0,32,27,15000,40
29,0,32,27,0,40
29,0,32,28,16000,40
28,0,33,28,0,40
31,0,33,27,0,40
28,0,33,27,0,40
28,0,33,28,0,41
28,0,33,30,0,41
29,15000,34,28,0,41
28,0,34,28,16000,41
30,0,34,27,0,41
29,0,34,29,15000,41
29,0,34,29,0,41
28,0,34,27,0,41
28,0,35,28,0,42
28,0,35,27,0,37
28,0,35,28,0,37
29,0,35,28,0,37
30,0,35,35,0,37
28,0,35,27,0,37
28,0,36,26,0,37
28,0,36,47,0,37
41,0,36,27,0,38
28,0,36,29,0,38
27,0,36,28,0,38
29,0,36,27,0,38
30,0,37,29,15000,38
30,0,37,28,0,38
30,0,32,27,0,38
28,0,32,27,0,38
29,0,32,27,0,39
29,0,32,28,0,39
28,0,33,29,0,39
29,0,33,27,0,39
29,0,33,27,0,39
30,0,33,28,0,39
36,0,33,27,0,39
30,0,33,28,0,39
29,0,34,27,0,40
28,0,34,29,0,40
28,0,34,27,0,40
29,0,34,27,0,40
28,0,34,27,0,40
30,0,34,28,16000,40
28,0,35,29,0,40
30,0,35,28,16000,40
28,0,35,28,0,41
29,0,35,31,0,41
28,0,35,28,0,41
28,0,35,27,0,41
29,0,36,29,0,41
30,0,36,28,0,41
30,0,36,29,15000,41
28,0,36,27,0,41
29,0,36,28,0,42
28,0,36,28,0,42
28,0,37,38,0,42
28,0,37,27,0,42
29,0,37,28,0,42
30,0,37,27,0,42
29,0,37,46,0,42
33,0,37,28,0,42
28,15000,38,27,0,43
28,0,38,28,0,43
29,0,33,28,78000,30
40,0,33,28,0,30
29,16000,33,28,0,31
28,0,33,27,0,31
30,0,34,27,0,31
28,0,34,27,0,31
30,0,34,27,0,31
29,0,34,28,0,31
29,0,34,28,16000,31
29,15000,34,27,0,31
29,0,35,27,0,32
28,0,35,38,0,32
29,0,35,27,0,32
29,0,35,28,0,32
28,0,35,27,0,32
28,16000,35,27,0,32
28,0,36,27,0,32
32,0,36,28,0,32
29,0,36,27,0,33
29,0,36,27,0,33
28,0,36,28,0,33
30,0,36,27,16000,33
36,15000,37,28,0,33
30,0,37,29,0,33
29,0,37,54,0,33
28,0,37,28,0,33
28,0,37,51,0,34
28,0,37,27,0,34
29,0,38,28,0,34
28,0,38,28,0,34
30,0,38,28,0,34
28,0,38,35,0,34
28,0,38,27,0,34
29,0,38,29,0,34
28,0,33,28,0,35
38,0,34,28,0,35
28,0,34,27,0,35
29,0,34,29,0,35
31,0,34,28,0,35
30,0,34,28,0,35
28,0,34,28,0,35
28,0,35,28,0,35
28,0,35,36,0,36
28,0,35,28,0,36
28,0,35,28,0,36
29,16000,35,27,0,36
30,0,36,29,0,36
29,0,36,29,0,36
28,15000,36,27,0,36
29,0,36,28,0,36
29,0,36,28,0,37
28,0,36,27,0,37
29,0,37,27,0,37
28,0,37,28,0,37
29,16000,37,27,0,37
29,0,37,27,0,37
30,0,37,27,0,38
28,0,37,28,0,38
29,31000,38,29,0,38
29,0,38,28,16000,38
28,0,38,28,0,38
30,0,38,27,0,38
28,0,38,28,0,38
29,0,38,27,0,38
28,16000,39,29,0,39
28,0,39,28,0,39
31,0,39,28,0,39
29,16000,39,28,0,39
29,0,39,28,0,39
31,15000,39,28,0,39
28,0,40,28,0,39
29,0,40,28,0,39
30,0,34,27,0,40
45,0,35,27,0,40
28,0,35,32,0,40
35,31000,35,27,0,40
31,0,35,28,0,40
29,0,35,34,0,40
29,31000,35,28,0,40
62,0,36,29,0,40
31,16000,36,28,0,41
30,0,36,27,0,41
28,0,36,28,0,41
35,0,36,28,0,41
32,0,36,30,0,41
28,0,37,28,0,41
28,0,37,28,0,41
28,16000,37,27,0,41
34,0,37,28,0,42
29,0,37,27,0,42
29,0,37,28,0,42
29,15000,38,28,0,42
29,0,38,27,0,42
31,0,38,34,0,42
29,16000,38,27,0,42
28,0,38,29,0,42
28,0,38,29,0,43
28,0,39,27,0,43
28,16000,39,28,31000,43
30,0,39,29,0,43
29,0,39,28,0,43
27,0,39,27,0,43
29,0,39,28,0,43
27,0,40,27,0,43
28,0,40,71,0,33
28,0,40,29,0,33
29,0,40,27,0,33
29,0,35,27,0,33
45,0,35,28,0,33
30,0,36,27,0,33
29,0,36,27,0,34
33,0,36,36,15000,34
33,31000,36,28,0,34
29,0,36,27,0,34
29,16000,36,28,0,34
29,0,37,29,0,34
29,0,37,28,0,34
28,0,37,28,0,34
29,0,37,29,0,35
29,0,37,29,0,35
29,0,37,29,0,35
27,0,38,29,0,35
29,0,38,29,0,35
28,0,38,29,0,35
29,0,38,28,16000,35
28,0,38,27,0,36
29,15000,38,28,0,36
29,0,39,27,0,36
28,0,39,28,0,36
28,0,39,28,0,36
28,0,39,27,0,36
28,16000,39,27,0,36
29,0,39,27,0,36
32,0,40,27,0,37
29,0,40,28,0,37
28,0,40,29,0,37
28,16000,40,28,0,37
29,0,40,27,0,37
28,15000,40,27,0,37
28,0,41,28,0,37
29,0,41,28,0,37
30,0,41,26,0,38
29,0,41,28,0,38
28,0,41,27,0,38
28,0,41,28,0,38
31,78000,30,27,15000,38
28,0,30,28,0,38
29,0,30,27,0,38
40,0,30,30,0,39
28,0,31,28,0,39
29,0,31,49,0,39
29,16000,31,28,0,39
29,0,31,27,0,39
28,0,31,36,0,39
28,0,31,28,0,39
29,0,32,28,0,39
28,0,32,29,0,40
29,0,32,29,0,40
29,0,32,27,0,40
28,0,32,28,0,40
28,0,33,38,16000,40
29,16000,33,28,0,40
29,0,33,28,0,40
28,0,33,28,0,40
28,0,33,30,0,41
28,15000,33,28,0,41
28,0,34,27,0,41
28,0,34,31,0,41
28,0,34,27,0,41
28,0,34,28,0,41
29,16000,34,28,0,41
28,0,34,28,0,41
31,0,35,28,0,42
28,15000,35,27,0,42
28,0,35,27,0,42
28,0,35,28,0,42
28,0,35,27,0,42
29,0,35,28,0,42
30,0,36,29,0,42
30,0,36,27,0,43
28,0,36,28,0,43
28,0,36,28,31000,43
32,0,36,27,0,43
28,0,37,28,0,43
28,0,37,28,0,43
33,0,37,28,0,43
29,0,37,28,0,44
28,32000,37,27,0,44
30,0,37,27,15000,35
28,0,38,35,0,35
29,0,38,28,0,35
28,15000,38,28,0,35
29,0,38,41,0,35
28,16000,38,28,0,35
30,0,39,27,0,35
29,0,39,28,0,35
28,0,39,28,0,36
28,0,39,28,0,36
28,0,39,28,0,36
29,0,39,28,0,36
28,0,39,27,0,36
29,0,40,28,0,36
29,0,40,27,0,36
29,16000,40,27,0,36
28,0,40,28,0,37
28,0,40,29,0,37
34,0,40,28,0,37
28,0,41,27,0,37
28,0,41,27,0,37
29,0,41,28,16000,37
28,0,41,27,0,37
28,0,41,28,0,38
29,15000,41,28,0,38
29,0,42,27,15000,38
28,0,42,27,0,38
29,0,42,28,0,38
29,0,42,27,0,38
30,0,42,27,16000,38
29,0,42,27,0,39
44,0,43,28,0,39
29,0,43,28,0,39
28,0,43,28,0,39
31,0,43,27,16000,39
27,0,43,28,0,39
30,0,43,28,16000,39
29,15000,32,27,0,39
29,0,32,27,0,40
28,0,33,46,0,40
28,0,33,27,0,40
29,16000,33,28,15000,40
28,0,33,33,0,40
28,16000,33,29,0,40
28,0,33,28,0,40
29,0,34,29,0,40
29,0,34,27,0,41
28,0,34,28,0,41
27,0,34,29,0,41
57,0,34,27,0,41
28,0,34,28,0,41
29,0,35,28,0,41
30,0,35,29,0,41
29,16000,35,28,0,41
28,0,35,27,0,42
29,0,35,28,0,42
28,0,35,27,0,42
29,0,36,29,0,42
29,0,36,28,0,42
28,16000,36,28,0,42
31,15000,36,28,0,42
90,0,36,28,0,42
45,0,36,28,0,42
29,0,37,45,15000,43
28,0,37,33,0,43
42,0,37,29,0,43
30,0,37,28,0,43
28,0,37,29,0,43
52,0,37,28,0,43
30,0,38,27,0,43
29,0,38,28,0,44
27,0,38,27,0,44
28,0,38,28,0,44
28,0,38,27,0,44
29,0,38,28,0,44
28,0,39,27,0,44
29,0,39,55,0,44
30,0,39,43,0,44
28,0,39,40,0,45
29,0,39,46,16000,45
28,0,39,30,0,45
28,0,40,28,0,45
28,0,40,27,0,45
29,16000,40,27,0,45
29,0,40,28,0,45
43,0,40,27,0,46
36,0,40,28,0,46
29,0,41,27,0,46
28,15000,41,28,0,46
31,0,41,27,0,46
29,0,41,27,0,46
28,0,41,28,0,46
29,0,41,28,0,37
28,0,41,28,0,37
28,0,42,27,0,37
30,0,42,28,0,37
29,0,42,27,0,37
29,0,42,28,0,38
28,0,42,27,0,38
28,0,42,27,0,38
28,0,43,27,0,38
35,16000,43,28,0,38
28,0,43,27,15000,38
29,15000,43,36,0,38
28,0,43,28,0,38
33,0,43,28,0,39
29,16000,44,27,16000,39
29,0,34,28,0,39
29,0,34,27,0,39
28,0,34,27,0,39
28,0,34,27,16000,39
28,16000,34,27,0,39
31,0,35,27,0,39
28,0,35,27,0,40
29,0,35,27,0,40
28,0,35,41,0,40
28,0,35,27,0,40
31,0,35,28,0,40
29,0,36,38,0,40
29,0,36,27,0,40
27,0,36,34,0,40
29,0,36,28,0,41
28,16000,36,29,16000,41
31,0,36,27,0,41
29,0,37,28,0,41
28,0,37,27,0,41
28,0,37,28,0,41
28,0,37,27,0,41
31,0,37,28,0,41
27,0,38,26,0,42
29,0,38,28,0,42
37,0,38,27,0,42
29,0,38,27,0,42
28,0,38,28,0,42
28,0,38,27,0,42
29,0,39,28,0,42
28,0,39,27,0,42
29,0,39,28,0,43
28,0,39,28,0,43
32,0,39,27,16000,43
29,16000,39,28,0,43
31,0,40,35,0,43
28,0,40,27,0,43
28,0,40,28,0,43
54,0,40,27,0,43
28,0,40,28,16000,44
29,0,40,28,0,44
37,0,41,28,0,44
27,15000,41,27,0,44
30,0,41,27,0,44
28,0,41,27,0,44
30,0,41,27,0,44
29,0,41,28,0,45
29,0,42,30,0,45
29,0,42,27,0,45
32,0,42,28,0,45
28,16000,42,38,0,45
28,0,42,29,16000,45
29,0,42,28,0,45
31,0,43,29,0,45
30,0,43,27,0,45
29,16000,43,40,0,46
28,0,43,27,0,46
28,0,43,28,0,46
29,0,43,27,0,46
28,0,44,28,16000,46
29,0,44,27,0,46
28,0,44,28,0,46
28,0,44,28,15000,46
28,0,44,28,0,47
28,0,44,54,0,47
29,0,44,29,0,47
28,0,45,27,0,47
28,0,45,28,0,47
29,0,45,27,0,47
28,0,45,51,0,47
28,0,45,28,0,47
30,0,45,29,0,48
35,0,46,27,16000,48
29,0,46,28,0,48
29,0,46,27,0,48
40,0,36,29,0,48
28,0,36,28,0,48
28,0,36,27,0,48
28,0,36,47,15000,48
30,0,36,27,16000,39
28,16000,36,28,0,39
28,0,37,28,0,39
28,0,37,53,0,39
29,0,37,28,0,39
29,0,37,28,0,39
29,0,37,31,0,40
29,0,37,29,0,40
28,0,38,27,0,40
28,0,38,27,0,40
28,0,38,27,0,40
28,0,38,28,0,40
28,0,38,29,0,40
