gql_ram_usage, gql_cpu_usage
171,78000
173,31000
174,16000
175,78000
176,0
177,16000
178,15000
180,0
181,0
182,32000
183,31000
184,16000
174,63000
175,31000
176,15000
177,32000
178,32000
179,0
180,0
181,0
182,15000
183,0
184,16000
185,15000
186,0
176,31000
177,0
178,0
179,16000
180,16000
181,46000
182,16000
183,0
184,0
185,0
186,16000
187,15000
177,0
178,16000
179,16000
180,15000
181,0
182,32000
183,15000
184,47000
185,16000
186,15000
187,16000
188,0
178,78000
179,0
180,16000
181,0
182,0
183,32000
184,15000
185,32000
186,0
187,0
188,0
189,15000
190,16000
180,15000
181,16000
182,0
182,0
183,0
185,0
185,16000
186,0
188,0
189,16000
190,31000
191,31000
33,94000
34,31000
35,0
36,0
37,0
38,0
39,31000
40,31000
41,0
42,16000
43,15000
44,32000
45,0
34,15000
35,0
36,0
37,16000
38,16000
39,0
40,15000
41,0
42,0
43,0
44,0
45,0
46,0
