gql_ram_usage, gql_cpu_usage
31,78000
31,0
32,16000
32,0
33,15000
33,0
34,0
34,0
35,16000
35,0
36,0
36,0
37,15000
38,0
38,31000
39,32000
39,15000
40,0
40,16000
41,0
41,16000
42,0
42,15000
42,16000
43,0
43,0
44,16000
44,16000
33,15000
34,0
34,15000
35,0
35,0
35,0
36,0
36,0
37,0
37,0
38,0
38,0
39,16000
39,0
40,16000
40,15000
41,16000
41,15000
42,0
42,16000
43,0
43,15000
44,0
44,16000
45,0
35,0
35,0
36,0
36,0
37,0
37,0
38,0
38,0
39,15000
39,16000
39,0
40,16000
40,15000
41,0
41,16000
42,0
42,0
43,31000
43,0
44,16000
44,15000
45,0
45,0
46,0
46,16000
47,16000
36,0
37,0
37,15000
38,0
38,16000
39,0
39,0
40,0
40,0
41,15000
41,0
42,0
42,0
42,0
43,16000
43,0
44,0
44,0
45,0
45,15000
46,16000
46,0
47,0
47,15000
48,0
38,0
38,16000
39,0
39,31000
40,0
40,0
41,15000
31,16000
31,31000
31,31000
31,16000
32,16000
32,0
31,0
32,15000
32,0
31,63000
31,0
31,0
30,15000
31,16000
31,16000
31,47000
31,0
32,0
31,46000
32,0
32,32000
33,0
32,15000
32,16000
33,0
32,0
32,0
33,0
32,0
32,0
33,31000
33,0
32,0
32,0
33,32000
33,0
32,15000
33,0
33,16000
33,0
33,0
33,0
34,0
34,0
35,16000
35,0
36,0
33,0
34,0
34,0
34,0
35,0
35,0
36,0
33,0
34,31000
34,16000
35,16000
35,0
36,0
34,0
34,0
35,0
35,0
35,0
36,0
37,0
37,16000
34,0
35,0
35,0
36,15000
36,0
37,0
37,0
35,16000
35,15000
36,0
36,0
37,0
37,0
37,0
35,16000
36,31000
36,16000
37,0
37,0
37,15000
38,16000
38,15000
31,79000
31,0
32,0
32,0
33,0
33,15000
34,0
34,31000
35,16000
35,0
36,0
36,0
37,16000
37,16000
37,0
32,0
32,0
33,0
33,0
34,15000
34,16000
35,0
35,0
36,0
36,15000
37,16000
37,16000
38,0
33,0
33,0
34,15000
34,16000
35,16000
35,15000
35,0
36,0
36,0
37,0
37,15000
38,16000
38,16000
33,0
34,31000
34,0
35,0
35,0
36,16000
36,15000
37,16000
37,0
38,0
38,0
39,0
39,0
39,0
34,16000
35,0
35,0
36,0
36,0
37,0
37,0
38,16000
38,15000
38,16000
39,0
39,16000
35,0
35,15000
36,0
36,0
37,0
37,15000
38,0
38,0
39,0
39,0
40,0
40,0
36,16000
36,15000
37,0
37,0
37,16000
38,0
38,31000
39,16000
39,0
40,0
40,0
41,15000
41,0
31,79000
31,0
32,15000
32,16000
33,0
33,15000
34,0
34,0
35,0
35,0
36,0
36,16000
36,0
37,15000
37,0
38,0
38,16000
39,0
40,0
40,0
40,16000
41,15000
41,0
42,0
42,0
43,0
43,0
44,16000
44,0
44,0
34,0
34,15000
34,0
35,0
35,0
36,0
36,0
37,0
37,0
38,16000
38,0
38,0
39,0
39,0
40,16000
40,15000
41,16000
41,0
42,0
42,0
43,0
43,0
43,0
44,0
44,0
45,0
35,0
35,0
36,16000
36,0
37,0
37,0
38,0
38,15000
39,0
39,0
39,16000
40,0
40,15000
41,0
41,0
42,0
42,0
43,0
43,0
43,0
44,15000
44,0
45,0
45,16000
46,0
46,0
36,0
37,0
37,0
38,0
38,0
39,16000
39,15000
39,16000
40,15000
40,0
41,0
41,16000
42,16000
42,0
43,0
43,0
44,0
44,0
44,0
45,0
45,15000
46,0
46,0
47,0
47,16000
48,0
38,16000
38,15000
39,16000
39,0
40,0
40,0
40,0
41,16000
41,0
42,16000
42,15000
43,16000
43,0
44,0
44,15000
45,0
45,0
46,16000
46,15000
47,0
47,16000
47,0
48,16000
48,15000
49,0
49,0
40,0
40,16000
40,0
41,16000
41,0
42,0
42,0
43,0
43,0
44,0
44,0
45,0
45,0
45,0
46,0
46,16000
47,0
47,15000
48,0
48,0
49,0
49,16000
49,16000
50,0
50,0
51,0
51,15000
31,110000
32,0
32,31000
33,0
33,0
33,0
34,0
34,0
35,0
35,0
36,0
36,0
37,0
37,0
38,0
38,0
38,0
39,0
39,0
40,0
40,16000
41,0
41,0
42,0
42,15000
42,0
43,0
43,0
