Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
49,47000,114,54,0,37
31,16000,114,31,0,37
31,15000,114,31,0,37
45,0,114,31,0,37
33,0,115,34,0,38
30,0,115,29,0,38
31,0,115,29,0,38
32,0,115,30,0,38
32,16000,116,41,0,38
31,0,116,29,0,38
30,0,116,29,0,38
31,0,116,30,0,39
31,0,116,29,0,39
30,0,117,29,0,39
39,0,117,28,0,39
31,0,117,30,0,39
44,0,117,28,15000,39
29,15000,117,28,0,39
31,0,118,29,0,39
30,0,118,27,16000,40
33,0,118,28,0,40
30,0,118,29,0,40
30,0,118,29,0,40
31,0,118,29,0,40
29,0,119,28,0,40
41,0,119,28,16000,40
30,0,119,29,0,40
29,0,119,28,0,40
30,16000,120,28,0,41
30,0,120,33,0,41
29,0,120,28,0,41
29,0,120,29,0,41
33,0,120,27,0,41
30,0,120,28,15000,41
37,0,109,27,0,41
30,0,109,28,0,41
29,0,109,27,0,42
39,15000,110,28,0,42
30,0,110,27,0,42
29,0,110,28,0,42
31,0,110,27,0,42
29,0,110,28,0,42
29,0,110,28,0,42
29,0,111,44,0,42
30,0,111,28,0,43
30,0,111,28,0,43
29,0,111,28,0,43
31,16000,111,34,0,43
31,0,111,27,0,43
32,0,112,28,0,43
30,16000,112,27,0,43
29,0,112,28,0,43
28,16000,112,28,0,44
33,0,112,28,0,44
28,0,112,28,0,44
29,0,113,28,0,44
31,0,113,28,0,44
30,0,113,28,0,44
29,0,113,27,0,44
30,0,113,30,0,44
31,0,114,28,0,45
30,0,114,28,0,45
29,15000,114,27,0,45
29,0,114,28,0,45
29,16000,114,27,0,45
28,0,114,29,0,45
29,0,115,28,0,45
30,0,115,27,15000,45
31,0,115,28,0,46
48,0,115,28,0,46
30,0,115,28,0,46
29,0,115,28,0,46
33,0,116,28,0,46
29,0,116,27,0,46
31,0,116,27,16000,46
29,0,116,28,0,46
30,0,116,27,0,46
32,0,117,29,0,47
30,0,117,28,0,47
30,16000,117,28,0,47
30,0,117,28,0,47
30,0,117,28,0,47
31,0,117,39,16000,47
31,0,118,29,0,47
32,0,118,28,0,47
31,0,118,35,0,48
31,0,118,27,16000,48
30,0,118,28,0,48
29,16000,119,27,0,48
30,0,119,28,0,48
30,0,119,28,0,48
28,0,119,28,0,48
