Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
99,15000,123,100,0,49
75,16000,124,78,0,50
78,16000,124,73,15000,50
77,0,125,74,0,50
78,0,125,72,16000,51
77,0,126,73,0,51
77,0,126,72,0,51
75,15000,127,74,0,52
78,0,127,74,0,52
78,0,128,91,0,53
79,0,128,73,0,53
82,0,129,75,15000,53
85,16000,129,74,0,42
76,16000,130,74,0,42
75,15000,130,73,0,43
74,0,121,74,0,43
75,0,121,75,16000,43
73,16000,122,72,0,44
75,0,122,73,0,44
73,31000,123,73,0,44
74,0,123,73,0,45
73,0,123,73,0,45
74,0,124,81,0,46
73,0,124,74,0,46
74,0,125,74,0,46
74,0,125,73,0,47
77,15000,126,73,15000,47
83,16000,126,73,0,47
74,0,127,71,0,48
73,16000,127,73,0,48
74,0,128,72,16000,48
74,0,128,73,15000,49
74,0,128,71,0,49
74,15000,129,72,0,50
73,0,129,71,0,50
74,16000,130,88,0,50
74,16000,130,75,0,51
76,31000,131,72,0,51
73,15000,131,73,0,51
74,16000,132,79,0,52
74,0,132,71,0,52
73,0,132,72,0,52
91,0,133,71,0,53
76,0,122,72,79000,34
74,0,123,72,15000,34
72,0,123,72,0,34
74,0,124,72,0,35
73,0,124,73,16000,35
73,0,125,70,0,35
74,0,125,72,15000,36
72,0,125,72,0,36
74,16000,126,72,0,37
76,0,126,82,0,37
74,16000,127,73,0,37
73,0,127,73,0,38
74,16000,128,71,0,38
82,0,128,71,31000,38
79,15000,128,70,0,39
74,0,129,72,16000,39
74,0,129,71,15000,39
72,0,130,71,0,40
72,16000,130,74,0,40
73,16000,130,71,0,41
73,0,131,72,16000,41
74,31000,131,73,0,41
82,0,132,72,0,42
73,16000,132,70,0,42
74,0,133,96,0,42
74,0,133,78,0,43
74,0,133,74,0,43
86,0,134,73,0,44
77,16000,123,72,15000,44
74,31000,124,72,0,44
76,16000,124,74,0,45
76,15000,125,72,0,45
73,0,125,71,16000,45
73,0,126,73,0,46
74,0,126,73,0,46
76,16000,127,77,0,46
72,0,127,73,15000,35
74,16000,127,72,16000,36
75,15000,128,73,0,36
73,0,128,86,0,36
73,47000,129,77,0,37
73,0,129,71,0,37
87,0,129,72,16000,38
93,0,130,75,0,38
104,16000,130,72,0,38
72,31000,131,79,0,39
74,0,131,71,0,39
80,0,131,71,0,39
101,0,132,73,15000,40
73,31000,132,72,0,40
74,0,133,71,0,40
75,0,133,70,0,41
82,0,134,71,0,41
75,0,134,71,0,41
74,0,135,75,0,42
74,16000,135,72,0,42
73,0,135,77,16000,43
78,0,125,73,0,43
92,31000,125,71,0,43
90,0,125,74,0,44
73,0,126,72,0,44
72,0,126,71,0,44
73,0,127,74,0,45
79,16000,127,72,0,45
73,0,127,92,0,45
75,0,128,73,15000,46
75,15000,129,72,0,46
74,16000,129,70,0,47
75,0,130,71,0,47
73,0,130,84,0,47
73,0,130,75,16000,37
75,0,131,86,0,37
97,31000,131,72,16000,38
87,0,132,69,0,38
73,0,132,72,0,38
75,0,132,70,0,39
75,16000,133,77,15000,39
73,16000,133,72,0,39
74,0,134,70,0,40
74,0,134,71,0,40
75,0,134,71,0,40
75,0,135,71,0,41
74,0,135,71,0,41
74,0,136,72,32000,42
73,0,136,70,0,42
73,0,136,77,0,42
73,15000,126,77,0,43
75,0,126,71,0,43
85,16000,127,79,0,43
72,16000,127,79,0,44
72,0,128,71,0,44
73,0,128,74,0,44
72,0,128,73,0,45
73,15000,129,72,15000,45
73,0,129,72,0,46
73,0,130,72,0,46
74,32000,130,72,0,46
72,15000,130,71,0,47
89,0,131,72,0,47
73,31000,131,71,16000,47
74,16000,132,72,16000,48
81,0,132,77,0,48
75,0,133,71,0,48
82,0,133,72,0,38
73,0,133,72,0,38
73,16000,134,72,16000,39
75,31000,134,73,16000,39
73,0,135,72,0,39
73,0,135,72,0,40
73,0,135,73,0,40
73,0,136,70,31000,40
71,16000,136,72,15000,41
73,15000,137,70,0,41
72,0,137,71,16000,42
74,0,137,72,0,42
73,0,127,70,0,42
72,0,127,72,0,43
79,16000,128,73,0,43
79,0,128,71,0,43
73,0,129,72,0,44
73,0,129,71,0,44
76,15000,130,71,0,44
76,0,130,70,0,45
73,0,131,73,0,45
73,0,131,71,0,45
72,0,131,71,0,46
72,0,132,70,16000,46
78,0,132,75,0,46
72,0,133,72,15000,47
72,0,133,96,0,47
73,0,133,75,0,48
75,0,134,91,0,48
86,0,134,70,16000,48
82,16000,135,72,0,49
128,16000,135,71,0,49
74,0,136,70,0,49
73,0,136,77,0,50
72,0,136,70,0,50
77,0,137,72,0,39
74,0,137,71,0,40
72,0,138,71,0,40
86,141000,32,71,16000,40
73,0,32,73,15000,41
74,0,32,71,0,41
72,15000,32,73,0,42
77,0,32,73,0,42
89,0,33,71,0,42
74,0,32,72,0,43
86,0,32,86,0,43
82,79000,31,72,0,43
90,0,32,73,0,44
72,15000,31,71,0,44
76,0,32,71,0,44
85,0,32,71,0,45
73,0,32,72,0,45
87,31000,32,71,0,45
74,0,32,71,0,46
78,63000,31,71,0,46
73,0,32,71,16000,47
84,16000,31,73,0,47
99,0,32,71,15000,47
73,15000,32,73,0,48
73,0,32,70,0,48
73,0,33,74,32000,48
74,0,32,73,0,49
88,0,32,75,0,49
73,0,32,70,15000,49
75,31000,33,76,0,50
73,0,32,71,0,50
74,0,32,72,0,50
78,32000,33,71,0,51
74,0,33,78,16000,41
73,0,32,73,0,41
107,0,32,73,0,41
73,0,33,71,0,42
93,16000,33,75,0,42
79,0,32,110,0,42
83,16000,32,72,0,43
105,15000,33,72,16000,43
75,0,33,72,15000,43
73,0,34,72,0,44
76,0,32,75,0,44
73,0,33,77,0,44
71,31000,33,76,0,45
72,63000,34,74,16000,45
74,0,32,75,0,45
74,15000,33,71,0,46
75,0,33,74,15000,46
88,0,34,72,16000,47
100,0,34,74,0,47
77,0,33,72,16000,47
73,0,33,73,0,48
77,0,34,71,0,48
75,16000,34,73,0,48
75,31000,33,72,0,49
72,0,33,81,0,49
73,0,34,72,15000,49
73,31000,34,89,0,50
74,0,33,71,16000,50
78,0,34,73,0,50
75,0,34,72,0,51
73,0,34,73,0,51
164,16000,35,79,0,51
81,0,35,85,0,52
73,16000,36,73,0,52
73,0,36,73,0,52
92,0,33,73,0,42
75,0,34,72,0,42
72,15000,34,71,0,42
74,0,35,72,0,43
74,15000,35,71,15000,43
73,0,35,83,0,44
72,0,36,71,0,44
73,0,36,73,0,44
75,0,34,71,0,45
74,0,34,73,16000,45
73,32000,35,71,15000,45
77,0,35,72,0,46
75,0,35,72,16000,46
74,15000,36,73,16000,46
75,0,36,71,0,47
73,32000,37,76,0,47
73,0,37,72,0,47
75,0,34,73,0,48
79,15000,35,71,0,48
86,0,35,76,15000,48
75,0,35,77,0,49
73,16000,36,72,0,49
77,0,36,73,0,49
77,0,37,72,0,50
110,0,37,72,16000,50
76,16000,34,73,0,50
76,16000,35,71,0,51
74,15000,35,73,0,51
81,0,36,72,0,52
75,16000,36,71,0,52
74,16000,37,71,0,52
74,0,37,73,0,53
73,15000,37,73,93000,34
72,0,38,73,0,34
72,0,35,86,0,34
73,0,36,88,0,35
74,0,36,72,0,35
72,0,36,73,16000,36
73,0,37,71,0,36
73,0,37,82,0,36
74,31000,38,105,0,37
78,16000,38,77,0,37
77,0,35,74,0,37
73,16000,36,73,15000,38
74,0,36,100,0,38
74,0,36,80,0,38
73,15000,37,84,0,39
73,0,37,98,0,39
86,0,38,121,0,39
72,0,38,131,0,40
73,16000,39,83,16000,40
73,0,36,95,0,40
71,0,36,77,0,41
77,0,36,79,16000,41
72,15000,37,74,0,42
82,0,37,102,0,42
76,0,38,131,0,42
74,15000,38,72,16000,43
74,0,38,76,0,43
72,16000,39,74,0,43
83,0,36,75,0,44
75,16000,36,89,16000,44
74,0,37,90,0,44
73,0,37,74,0,45
74,0,38,77,0,45
79,0,38,75,0,45
73,0,38,75,0,46
74,0,39,74,0,46
78,78000,31,75,0,46
74,0,32,76,0,35
75,0,32,76,16000,36
78,0,33,75,0,36
72,16000,33,77,0,37
75,0,34,74,0,37
73,0,34,76,15000,37
73,0,34,83,0,38
73,0,35,91,0,38
73,15000,35,77,0,38
71,0,36,72,0,39
74,16000,36,72,0,39
72,0,36,71,16000,39
72,0,37,73,0,40
74,16000,37,71,16000,40
72,0,38,75,0,40
72,0,32,72,0,41
77,0,33,75,0,41
81,0,33,71,15000,42
73,0,34,73,0,42
71,0,34,71,0,42
74,0,34,74,0,43
71,16000,35,83,0,43
73,0,35,88,0,43
72,0,36,73,16000,44
74,31000,36,73,0,44
86,0,36,73,0,44
74,0,37,73,0,45
71,0,37,71,0,45
73,16000,38,71,0,45
97,15000,38,72,0,46
78,0,33,72,0,46
108,0,33,70,0,46
93,0,34,72,0,47
97,0,34,72,0,47
86,0,35,72,0,37
74,16000,35,73,0,37
73,15000,35,80,0,37
72,0,36,71,0,38
73,0,36,74,0,38
78,16000,37,76,0,38
71,0,37,72,0,39
72,31000,37,72,0,39
72,0,38,70,0,39
74,0,38,73,0,40
88,31000,39,73,15000,40
73,0,34,72,0,40
93,0,34,71,0,41
74,0,34,72,0,41
74,16000,35,71,0,41
73,16000,35,72,0,42
87,0,36,71,0,42
74,31000,36,88,0,43
73,0,36,71,0,43
74,0,37,86,0,43
72,0,37,71,0,44
73,0,38,71,0,44
75,0,38,74,15000,44
73,0,38,71,0,45
75,0,39,71,0,45
73,0,39,71,0,45
79,0,40,71,0,46
74,16000,34,71,0,46
74,0,35,71,0,46
74,16000,35,72,0,47
72,0,35,72,16000,47
73,0,36,71,15000,47
73,0,36,80,0,48
80,16000,37,72,0,48
73,0,37,70,0,49
73,16000,37,73,0,38
72,31000,38,72,16000,38
75,0,38,73,0,39
72,0,39,71,0,39
75,15000,39,73,0,39
73,0,40,71,0,40
81,16000,40,73,0,40
72,0,35,72,0,40
71,0,35,82,15000,41
73,0,36,71,16000,41
73,16000,36,72,0,41
72,0,36,72,0,42
72,0,37,77,0,42
72,15000,37,74,0,42
72,16000,37,71,0,43
73,0,38,73,0,43
72,0,38,71,0,43
73,16000,39,71,0,44
77,15000,39,72,0,44
98,0,40,72,15000,44
78,0,40,71,0,45
72,0,40,70,0,45
72,0,41,71,0,46
72,31000,35,72,0,46
72,16000,36,72,0,46
73,0,36,80,16000,47
75,16000,37,71,0,47
73,0,37,77,0,47
74,0,37,86,16000,48
73,0,38,72,0,48
72,0,38,70,0,48
74,15000,39,73,0,49
72,0,39,70,0,49
72,0,39,71,0,49
79,0,40,70,0,50
84,0,40,71,0,39
73,0,41,320,0,39
73,0,41,73,0,40
71,32000,41,71,0,40
72,15000,36,84,16000,41
72,0,37,76,0,41
74,16000,37,73,0,41
71,0,37,72,31000,42
71,0,38,70,0,42
71,15000,38,73,0,42
74,16000,39,72,0,43
75,16000,39,71,0,43
