Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
245,15000,45,240,16000,32
216,0,45,223,0,33
223,0,46,217,0,32
226,0,46,214,0,32
233,0,46,231,0,33
222,16000,46,224,15000,32
233,0,46,212,0,33
235,0,47,210,0,33
449,0,47,225,0,32
218,0,47,208,0,33
214,78000,30,227,16000,33
218,0,30,214,0,33
225,0,31,214,0,33
213,0,31,218,0,34
205,0,31,208,0,34
205,0,31,223,0,33
215,0,31,230,0,33
211,0,32,216,0,33
214,16000,32,225,0,33
209,0,32,207,0,34
216,0,32,223,0,34
207,0,33,218,0,33
222,0,33,221,0,33
214,0,33,207,16000,33
223,0,33,221,0,34
216,0,33,213,0,34
222,0,34,212,0,34
222,0,34,223,0,34
215,0,34,217,0,33
217,15000,34,224,0,34
201,0,34,214,0,34
213,0,35,224,0,34
220,0,35,219,0,34
219,0,35,215,0,35
222,0,35,222,0,33
219,0,35,218,0,34
214,0,36,220,0,34
223,0,36,222,0,34
225,15000,36,218,0,34
215,0,36,224,0,35
214,0,37,207,0,35
210,0,37,219,15000,34
215,0,37,211,32000,34
235,0,37,210,0,34
210,0,37,213,15000,35
220,0,38,237,0,35
211,32000,38,217,0,35
225,0,38,219,0,34
225,0,38,218,0,34
219,31000,38,226,0,34
224,0,39,214,0,35
215,0,39,215,0,35
216,0,39,215,0,35
221,0,39,460,0,36
217,16000,39,490,0,36
212,0,40,222,0,36
229,0,40,237,0,36
232,0,40,225,0,37
225,15000,40,218,0,37
231,0,41,215,0,37
226,0,41,217,0,37
215,0,41,217,0,38
226,0,41,232,0,35
224,0,41,213,0,35
452,0,42,204,0,35
232,0,42,225,0,35
225,0,42,207,0,36
235,0,42,220,0,36
220,0,42,225,0,36
226,0,43,220,15000,36
207,0,43,212,0,37
240,0,43,228,0,37
240,0,43,226,0,37
228,0,43,214,0,38
217,0,33,221,0,38
213,0,34,214,0,35
223,0,34,214,0,35
222,0,34,215,0,36
214,0,34,216,0,36
231,0,34,238,0,36
214,16000,35,234,0,36
223,0,35,219,0,37
240,0,35,248,0,37
219,0,35,221,0,37
222,0,36,210,0,37
230,0,36,212,0,38
236,0,36,220,0,36
212,0,36,231,0,36
218,0,36,231,0,36
211,0,37,222,0,36
255,0,37,223,0,37
237,15000,37,208,0,37
213,0,37,209,0,37
222,0,37,448,0,38
214,0,38,223,0,38
230,0,38,221,0,38
221,0,38,222,0,38
212,0,38,225,0,39
