Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
63,16000,272,52,0,284
32,0,273,32,0,285
32,0,273,30,0,285
32,0,273,29,0,285
48,0,273,31,0,285
32,0,274,29,0,285
32,0,274,29,16000,285
40,0,274,29,0,285
32,0,274,30,0,286
32,0,274,30,0,286
32,0,274,29,0,286
31,0,275,29,0,286
32,0,275,31,0,286
30,0,275,30,0,286
31,0,275,30,0,286
33,0,276,34,0,287
30,0,276,41,0,287
31,0,276,29,0,287
33,0,276,28,0,287
30,0,276,33,0,287
29,0,277,28,0,287
30,0,277,38,0,287
29,0,277,29,0,287
31,0,277,31,0,288
30,0,277,30,0,288
29,0,277,30,0,288
31,16000,278,59,0,288
29,0,278,34,0,288
31,0,278,30,0,288
29,0,278,30,0,289
31,0,279,32,0,289
30,0,279,29,0,289
29,0,279,29,0,289
30,0,279,29,0,289
30,16000,279,28,0,289
30,0,279,28,0,289
30,0,280,28,0,289
33,0,280,29,0,290
33,0,280,30,0,290
30,16000,280,28,0,290
30,0,280,29,0,290
33,0,280,30,0,290
30,0,281,28,15000,290
31,0,281,29,0,291
30,0,281,29,0,291
31,0,281,29,0,291
29,0,281,28,16000,291
30,0,281,28,0,291
30,0,282,28,0,291
30,16000,282,28,0,291
30,0,282,28,0,291
32,0,282,29,0,292
30,0,282,42,0,292
29,0,283,31,0,282
30,0,283,28,0,282
29,15000,283,33,0,282
30,0,283,29,0,282
30,0,283,28,0,282
30,0,283,29,0,283
29,0,284,28,0,283
30,0,284,28,0,283
29,0,284,29,0,283
31,16000,284,29,0,283
30,0,284,28,0,283
30,0,285,29,0,283
29,0,285,28,0,283
30,0,275,29,0,284
29,0,275,27,0,284
29,0,275,28,0,284
30,0,275,29,0,284
30,0,275,28,0,284
30,0,276,28,0,284
30,0,276,28,0,285
29,0,276,29,0,285
31,0,276,28,0,285
30,0,276,29,15000,285
31,0,276,29,0,285
30,16000,277,28,0,285
49,0,277,28,0,285
30,0,277,29,0,285
31,0,277,28,0,286
31,0,277,29,0,286
30,0,277,28,0,286
29,0,278,28,0,286
29,0,278,28,0,286
30,32000,278,28,0,286
31,0,278,29,0,286
29,0,278,28,0,287
29,0,278,29,0,287
29,0,279,29,0,287
30,15000,279,29,0,287
30,16000,279,28,0,287
30,0,279,29,0,287
30,0,279,41,0,287
30,0,279,31,0,287
29,0,280,29,0,288
29,0,280,35,0,288
29,0,280,28,0,288
29,0,280,30,0,288
29,0,280,28,0,288
29,0,281,30,0,288
29,0,281,30,0,288
29,15000,281,29,0,289
30,0,281,28,0,289
29,0,281,28,0,289
28,0,281,29,0,289
30,0,282,28,0,289
28,16000,282,29,0,289
29,0,282,28,0,289
31,0,282,29,0,289
29,0,282,28,0,290
29,0,282,29,0,290
30,0,283,29,0,290
28,0,283,28,0,290
31,0,283,29,0,290
30,0,283,29,0,290
29,16000,283,28,0,290
37,0,283,29,15000,291
30,0,284,29,0,291
28,0,284,28,0,291
30,16000,284,29,16000,291
29,0,284,29,0,291
30,0,284,30,0,291
28,0,285,28,0,291
29,0,285,34,0,292
29,0,285,28,0,292
29,0,285,29,0,292
29,0,285,29,0,292
28,0,285,28,0,292
31,0,286,28,0,292
30,32000,286,29,0,292
29,0,286,42,0,292
29,0,286,28,0,293
28,0,286,29,0,293
30,0,276,37,0,293
29,0,277,29,0,293
30,0,277,29,0,293
29,0,277,30,0,284
35,0,277,27,0,284
29,0,277,29,0,284
28,31000,277,30,0,284
29,0,278,28,0,284
33,0,278,28,0,284
29,0,278,28,0,285
29,0,278,29,0,285
29,0,278,28,0,285
31,0,278,29,0,285
30,16000,279,28,0,285
29,0,279,29,0,285
29,0,279,28,0,285
29,16000,279,29,0,286
29,31000,279,29,16000,286
31,0,279,28,0,286
30,0,280,28,0,286
29,0,280,28,0,286
35,0,280,29,0,286
30,0,280,28,0,286
29,0,280,30,0,286
29,0,280,28,0,287
30,0,281,29,0,287
30,0,281,28,0,287
29,0,281,30,0,287
29,0,281,30,0,287
30,16000,281,29,0,287
31,0,282,28,0,288
56,0,282,29,0,288
30,0,282,29,0,288
30,0,282,28,0,288
29,0,282,29,0,288
29,0,282,44,0,289
29,0,283,28,0,289
34,0,283,29,0,289
29,15000,283,36,0,289
29,0,283,28,0,289
30,16000,283,29,16000,289
31,0,283,29,0,289
29,0,284,28,0,289
29,0,284,28,0,290
29,0,284,28,0,290
29,0,284,28,0,290
29,16000,284,28,0,290
29,0,285,28,0,290
29,0,285,29,0,290
29,0,285,29,15000,290
29,0,285,28,0,290
29,0,285,28,0,291
29,0,285,36,0,291
36,16000,286,29,0,291
29,0,286,29,0,291
29,0,286,29,0,291
44,0,286,35,0,291
29,0,286,30,16000,291
30,0,287,28,0,292
29,0,287,31,0,292
29,0,287,29,0,292
29,16000,287,28,0,292
30,0,287,28,0,292
31,0,287,29,0,292
29,0,288,28,0,292
29,0,288,28,0,292
29,15000,288,35,0,293
29,0,288,30,0,293
30,0,288,28,0,293
29,0,288,28,0,293
29,0,289,29,0,293
29,0,278,28,0,293
28,15000,278,28,0,293
29,32000,278,37,0,294
29,0,279,28,0,294
29,0,279,28,0,294
29,0,279,34,0,294
30,0,279,28,0,294
30,0,279,29,0,294
30,0,279,28,0,294
30,16000,280,28,0,294
28,0,280,28,15000,295
28,0,280,28,0,295
30,0,280,29,0,295
28,0,280,28,0,295
29,0,280,28,0,295
29,0,281,29,0,295
29,0,281,28,0,296
29,0,281,28,0,286
29,0,281,28,0,286
41,0,281,29,0,286
28,0,281,28,0,286
30,0,282,28,0,287
35,0,282,28,0,287
30,0,282,29,0,287
29,16000,282,29,0,287
29,0,282,29,0,287
29,0,283,33,0,287
28,0,283,28,0,287
29,0,283,29,0,287
30,0,283,27,0,288
28,0,283,29,0,288
30,0,283,28,0,288
30,0,284,28,0,288
29,0,284,29,0,288
30,0,284,28,0,288
29,0,284,29,0,288
30,0,285,28,0,289
36,0,285,28,0,289
29,0,285,27,0,289
29,0,285,28,0,289
29,15000,285,61,0,289
29,0,285,43,0,289
30,0,286,43,0,289
30,15000,286,28,0,289
28,0,286,28,0,290
30,0,286,29,0,290
30,0,286,28,0,290
29,0,286,29,0,290
31,0,287,28,0,290
29,0,287,28,0,290
30,0,287,29,0,290
29,0,287,29,0,290
28,0,287,29,0,291
29,0,287,28,0,291
30,0,288,29,0,291
44,16000,288,29,15000,291
29,0,288,29,0,291
30,0,288,56,0,291
52,0,288,50,0,291
30,0,288,67,0,291
28,0,289,30,0,292
30,0,289,30,0,292
28,0,289,42,0,292
30,0,289,34,0,292
30,0,289,35,0,292
29,0,289,42,0,292
30,0,290,29,0,292
29,0,290,30,0,293
28,0,290,30,0,293
