Res_Time_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
251,205,0,34
79,174,15000,34
81,174,0,35
76,171,0,34
77,175,0,35
75,176,0,35
77,169,0,34
77,170,15000,35
79,173,0,35
78,201,15000,35
78,173,0,35
76,173,15000,35
77,171,0,36
77,173,16000,36
76,171,16000,35
75,168,0,35
87,172,0,35
77,176,15000,35
80,175,16000,35
78,171,16000,36
84,171,0,35
76,170,0,35
75,205,0,36
74,169,0,35
80,169,0,36
76,175,0,36
76,177,0,35
75,175,16000,36
75,171,0,36
84,173,0,36
78,176,15000,36
120,173,16000,36
77,170,0,36
75,171,0,36
79,176,0,36
75,170,16000,36
76,180,16000,36
75,170,16000,36
77,170,0,36
76,202,0,36
75,175,0,36
74,169,0,36
77,169,0,36
77,173,0,36
77,171,0,36
79,177,16000,36
75,170,0,36
76,168,0,36
73,172,0,36
74,171,0,36
80,166,0,37
77,212,0,36
77,169,0,36
75,171,32000,36
77,172,0,36
75,171,0,37
75,232,15000,36
77,172,16000,36
77,168,0,37
76,171,0,36
76,172,62000,37
80,170,0,37
74,175,16000,37
75,176,0,37
77,168,0,37
77,173,0,37
77,166,31000,37
76,171,15000,37
75,172,0,37
74,169,16000,37
81,173,0,37
76,171,15000,37
76,169,16000,38
76,172,0,37
78,168,0,38
75,169,0,38
97,175,16000,37
76,169,15000,38
77,177,0,38
74,170,16000,37
75,174,0,38
74,170,16000,38
75,178,0,37
74,168,0,38
76,168,0,38
73,169,0,38
75,167,16000,38
75,172,15000,38
74,172,0,38
74,170,0,38
73,169,16000,38
75,180,0,38
76,183,0,38
74,187,0,39
77,193,16000,38
74,178,0,38
75,172,15000,39
75,171,16000,38
78,172,15000,38
76,177,16000,39
