Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
75,0,135,79,0,43
57,0,135,62,0,44
54,16000,135,58,16000,44
55,0,136,55,16000,44
56,0,136,56,0,44
52,0,136,54,0,44
55,15000,137,56,0,44
52,0,137,54,0,45
55,16000,137,56,15000,45
53,0,137,55,0,45
53,0,138,54,0,45
54,15000,138,54,0,45
55,0,138,54,0,45
54,0,138,54,0,46
52,0,139,55,16000,46
52,16000,139,54,0,46
51,16000,139,59,0,46
52,0,139,54,15000,46
51,0,140,54,0,46
52,0,140,53,0,47
51,0,140,57,0,47
51,0,140,54,0,47
52,16000,141,56,0,47
52,16000,141,54,16000,47
51,0,141,61,0,47
52,15000,131,55,0,37
52,16000,132,55,0,37
51,0,132,54,0,37
52,0,132,54,0,37
50,16000,132,54,0,37
51,0,133,57,0,38
50,0,133,77,0,38
51,0,133,64,16000,38
51,0,134,52,15000,38
50,16000,134,54,0,38
54,0,134,53,0,38
48,15000,134,54,0,39
52,0,135,52,0,39
51,0,135,53,0,39
51,0,135,52,0,39
51,32000,135,53,0,39
50,0,135,53,0,39
51,0,136,52,0,40
51,0,136,55,0,40
51,15000,136,53,16000,40
51,0,136,53,0,40
51,31000,137,53,0,41
51,0,137,57,0,41
51,0,137,54,0,41
51,16000,137,53,0,41
52,16000,138,61,0,41
50,0,138,53,0,41
51,0,138,54,0,42
51,0,138,51,0,42
51,0,139,52,0,42
52,15000,139,53,0,42
51,16000,139,54,0,42
51,0,139,53,0,42
52,0,139,58,0,43
52,0,140,52,0,43
51,0,140,53,0,43
54,16000,140,55,0,43
57,0,140,53,16000,43
52,0,141,52,0,43
52,0,141,53,0,44
50,46000,141,54,0,44
51,0,141,55,15000,44
51,0,142,54,0,44
51,0,142,53,16000,44
51,0,142,53,0,44
50,0,142,53,0,45
51,0,142,52,0,45
50,0,143,68,0,45
51,0,143,53,0,45
51,0,143,63,0,45
50,0,143,52,0,45
52,0,133,54,0,46
52,0,133,52,0,46
51,0,133,53,0,46
51,15000,134,52,0,46
49,0,134,51,0,46
51,0,134,56,0,46
52,0,134,53,15000,47
52,16000,135,52,0,47
50,16000,135,53,0,47
50,0,135,54,0,47
50,0,135,55,0,47
51,0,136,53,0,48
54,0,136,53,0,48
51,0,136,52,0,48
49,0,136,56,0,48
51,16000,137,52,0,48
50,0,137,59,0,48
51,0,137,53,0,49
50,0,137,53,0,49
51,15000,137,53,0,49
56,0,138,54,16000,38
66,0,138,53,0,38
54,16000,138,53,0,39
51,0,138,64,0,39
51,0,139,62,0,39
50,31000,139,52,15000,39
50,0,139,53,0,39
