Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
152,47000,42,174,0,39
126,0,42,127,0,40
128,16000,42,127,0,40
127,0,43,145,16000,40
125,16000,43,135,0,40
136,0,43,125,0,40
132,16000,43,125,0,41
126,0,44,130,0,41
128,0,44,130,0,41
127,0,44,129,0,41
126,0,44,129,0,41
131,0,44,128,0,41
129,0,45,138,0,42
127,0,45,124,0,42
131,0,45,125,0,42
127,15000,45,126,0,42
131,16000,46,127,0,42
125,0,46,129,0,42
129,0,46,124,0,43
129,0,46,124,0,43
131,0,47,123,0,43
126,0,47,141,0,43
137,31000,47,138,0,43
140,0,47,124,0,43
131,0,47,126,0,44
133,16000,48,124,0,44
128,0,48,126,0,44
135,0,48,129,0,44
131,0,48,137,0,44
130,15000,49,137,0,44
137,16000,31,132,0,45
164,0,31,166,0,45
129,0,31,126,0,45
130,0,31,124,0,45
130,0,32,126,0,45
126,0,32,127,0,45
130,0,32,130,0,46
131,0,32,126,0,34
130,0,33,130,0,34
147,16000,33,141,0,35
127,15000,33,126,0,35
127,0,33,170,0,35
128,0,33,127,0,35
127,0,34,124,0,35
128,16000,34,133,0,35
125,0,34,127,0,36
131,15000,35,135,0,36
127,0,35,144,0,36
193,0,35,125,0,36
127,0,35,129,0,36
128,0,35,125,0,36
127,16000,36,125,16000,37
132,0,36,127,0,37
125,0,36,124,0,37
127,0,36,126,0,37
137,16000,36,142,0,37
133,0,37,139,16000,37
126,0,37,131,0,38
126,15000,37,127,0,38
137,16000,37,132,0,38
128,0,38,130,0,38
127,15000,38,130,0,38
129,0,38,128,0,39
128,0,38,126,15000,39
140,0,38,141,16000,39
142,0,39,127,0,39
133,0,39,127,0,39
139,0,39,125,0,39
145,0,39,126,15000,40
135,0,39,125,0,40
129,0,40,125,0,40
131,0,40,124,0,40
135,0,40,137,16000,40
160,0,40,137,0,40
131,0,41,127,0,41
124,0,41,130,0,41
127,16000,41,131,0,41
130,16000,41,131,0,41
125,0,42,126,0,41
130,0,42,126,0,41
150,0,42,124,16000,42
156,0,42,149,0,42
125,0,42,126,0,42
126,0,43,125,0,42
125,0,43,125,0,42
128,0,43,125,0,43
126,0,43,127,0,43
129,0,43,128,15000,43
129,32000,44,123,0,43
140,0,44,159,0,43
126,15000,44,137,0,43
127,0,44,126,0,44
128,0,45,122,0,44
126,0,33,126,0,44
127,0,33,125,0,44
128,0,33,126,16000,44
128,16000,33,125,0,45
144,0,34,126,16000,45
125,0,34,148,0,45
127,0,34,132,31000,45
127,0,34,126,15000,45
130,0,34,124,0,46
130,15000,35,127,0,46
127,0,35,133,0,46
127,0,35,127,0,46
132,0,35,126,0,46
130,32000,36,133,16000,46
128,0,36,153,0,47
163,15000,36,127,0,47
130,0,36,126,0,47
128,0,36,128,16000,47
130,0,37,127,0,47
126,0,37,130,0,36
126,0,37,123,0,36
154,32000,37,130,0,36
130,0,37,126,0,36
131,0,38,134,0,37
128,0,38,127,0,37
135,0,38,159,0,37
127,0,38,168,0,37
132,0,39,125,0,37
140,0,39,130,0,38
137,0,39,123,16000,38
162,0,39,125,15000,38
126,0,39,169,0,38
128,0,40,129,0,38
128,0,40,128,0,38
126,0,40,126,0,39
126,0,40,122,0,39
149,15000,41,127,0,39
158,0,41,122,0,39
