Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
37,0,128,52,0,75
34,31000,129,34,15000,76
35,0,129,367,63000,87
6,0,130,34,15000,84
32,0,130,29,0,84
31,0,130,30,0,84
32,0,131,363,0,89
4,0,131,32,16000,89
192,47000,138,32,0,89
30,0,138,33,15000,89
32,0,139,268,31000,94
4,0,139,32,16000,89
30,0,139,31,0,90
269,47000,140,29,0,90
31,0,140,228,16000,94
3,0,140,32,0,95
30,0,140,29,0,95
29,0,140,30,0,95
31,0,141,229,31000,95
2,0,141,29,0,95
30,0,139,28,0,96
29,0,139,28,16000,96
46,15000,141,246,0,100
3,0,142,29,0,101
1179,32000,147,29,0,101
30,0,147,29,0,101
29,15000,147,245,63000,101
3,0,147,30,0,101
30,0,147,28,0,101
33,31000,147,30,0,101
31,0,148,244,15000,106
3,0,148,32,0,102
33,16000,150,28,0,102
29,0,151,29,0,102
30,31000,148,267,0,107
3,0,148,30,0,107
29,0,151,27,0,108
35,0,153,29,0,108
30,0,153,244,16000,112
2,0,153,31,0,107
30,16000,156,28,0,108
30,0,156,30,0,108
36,78000,156,243,31000,113
2,0,156,30,15000,113
29,0,156,28,0,113
29,0,156,28,0,113
30,16000,156,248,16000,114
7,0,159,30,0,114
32,0,161,27,0,114
32,16000,160,29,16000,114
29,0,160,246,0,119
3,0,160,29,0,119
29,0,160,29,0,119
29,0,160,44,0,119
34,16000,165,227,62000,119
3,0,165,30,0,119
178,16000,169,28,0,119
29,0,169,29,0,119
31,0,169,248,16000,124
7,0,166,34,0,120
29,0,166,29,0,120
31,0,166,28,0,121
30,16000,166,245,0,125
4,0,167,30,0,125
35,0,171,28,0,126
29,0,171,28,0,126
31,15000,172,227,0,130
3,0,172,33,0,126
28,0,174,28,0,126
45,16000,172,29,0,126
29,0,174,287,0,131
4,0,174,30,0,131
28,0,174,28,15000,131
29,0,175,28,0,131
30,15000,177,308,31000,132
3,0,177,30,16000,132
28,0,177,27,0,132
32,32000,33,28,0,132
34,47000,33,287,16000,137
4,0,33,30,0,137
32,15000,40,39,0,137
30,16000,40,29,0,137
29,0,40,288,31000,137
2,0,40,63,0,137
30,0,41,28,0,137
29,0,41,30,31000,138
31,0,41,248,16000,142
3,0,41,32,125000,33
33,15000,48,29,0,33
64,16000,42,28,0,33
34,78000,44,245,0,38
3,0,44,32,0,38
30,0,44,28,0,38
29,15000,46,28,0,38
30,0,47,229,31000,43
3,0,47,28,0,43
29,16000,47,28,31000,43
29,0,50,29,0,44
31,0,50,225,78000,43
2,15000,50,30,0,43
29,0,50,29,0,43
30,15000,52,28,0,43
29,0,50,247,0,48
3,0,50,49,0,44
29,16000,52,28,0,44
33,16000,53,29,0,44
30,15000,53,248,31000,49
3,0,54,30,0,49
29,0,54,29,0,49
36,0,54,29,0,49
31,0,54,228,16000,54
3,0,54,33,0,49
30,31000,61,28,0,49
45,16000,59,28,0,50
29,0,59,229,31000,54
3,0,59,29,0,54
29,0,59,30,0,54
29,0,59,29,0,55
29,0,64,291,31000,55
3,0,64,31,0,55
28,16000,64,28,0,55
29,0,64,28,0,56
30,0,62,249,0,60
3,0,62,31,0,60
28,16000,67,28,0,61
30,31000,69,28,0,61
29,0,70,227,125000,35
2,0,70,31,0,35
29,0,70,29,0,35
29,0,68,28,0,36
29,0,70,264,0,40
3,16000,70,30,0,40
27,0,72,29,0,41
29,93000,34,29,16000,41
31,0,34,225,31000,45
3,0,34,31,16000,46
28,16000,37,28,0,46
29,0,37,28,15000,46
31,0,41,229,32000,44
3,0,42,30,0,44
29,31000,42,28,0,44
28,0,42,28,0,44
31,0,44,227,15000,46
2,0,45,36,0,46
28,0,45,28,0,46
29,16000,41,40,0,46
61,0,42,226,0,51
3,0,42,30,0,51
49,16000,46,28,0,51
32,15000,46,28,0,52
30,0,46,247,0,51
2,0,46,30,0,52
31,0,49,29,16000,52
34,0,49,29,0,52
36,0,51,225,16000,57
3,0,51,32,47000,33
33,0,51,28,15000,33
30,0,51,28,0,33
33,0,51,247,16000,38
2,0,51,33,0,38
30,0,51,29,0,38
30,78000,53,29,0,38
37,0,53,245,0,43
2,0,53,31,0,43
31,0,53,33,0,43
30,0,53,27,15000,44
29,0,56,246,0,43
3,0,56,29,0,43
32,0,58,28,0,43
28,0,59,28,0,43
29,0,58,244,16000,48
3,0,58,45,0,44
29,0,61,29,0,44
28,0,61,29,0,44
29,16000,63,244,0,49
3,0,64,33,0,49
28,0,64,31,0,49
31,0,62,29,0,49
30,16000,62,247,16000,54
3,0,62,33,0,49
29,0,65,28,0,49
30,0,67,28,0,50
29,0,67,246,0,54
2,0,67,35,15000,54
28,0,67,30,0,54
29,0,70,35,0,55
30,0,70,232,32000,35
6,0,66,41,0,35
28,0,70,28,0,35
29,16000,73,29,0,35
29,0,73,245,31000,40
2,0,73,29,0,40
29,16000,71,28,0,40
30,0,74,36,0,41
32,0,74,246,0,45
2,0,74,30,0,45
34,0,76,28,0,46
29,0,76,28,0,46
30,0,75,265,32000,44
3,0,75,34,0,44
