Res_Time_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
243,255,0,35
181,224,0,35
83,225,0,36
189,215,0,36
83,213,0,36
79,244,15000,36
77,223,0,36
98,218,0,36
83,222,0,37
82,213,0,37
77,214,0,37
92,219,0,37
78,211,0,37
77,222,0,38
80,212,0,38
253,229,0,38
82,212,0,38
77,221,0,38
75,247,0,39
82,228,0,39
81,221,0,39
76,222,0,39
78,213,0,39
75,250,0,39
78,213,0,40
298,234,0,40
80,219,0,40
74,219,16000,40
75,219,0,40
76,215,0,41
76,215,0,41
75,220,0,41
76,264,0,41
77,215,0,41
76,213,15000,41
316,216,0,42
78,214,0,42
78,214,0,42
90,220,0,42
77,211,0,42
81,223,15000,42
76,222,0,43
76,216,0,43
76,211,0,43
79,215,0,43
267,210,0,43
76,232,0,44
78,211,0,44
78,209,0,44
74,211,0,44
77,208,0,44
75,227,0,44
75,211,0,45
79,209,0,45
91,208,0,45
297,232,0,45
73,216,0,45
76,214,0,45
76,213,16000,46
75,228,0,46
74,211,0,46
76,220,0,46
78,212,0,46
74,219,0,47
77,208,0,47
78,208,0,47
318,210,16000,47
76,208,0,47
73,206,0,47
77,255,0,37
77,212,0,37
76,215,0,37
78,212,0,38
496,216,0,38
80,235,0,38
89,228,0,38
78,214,0,38
77,209,0,39
75,211,0,39
75,218,0,39
76,211,0,39
425,232,0,39
76,232,0,39
83,220,0,40
73,215,0,40
74,211,0,40
76,211,0,40
78,238,0,40
75,210,0,40
73,213,15000,41
77,209,0,41
111,232,0,41
258,211,0,41
78,220,0,41
76,209,16000,42
80,214,0,42
74,240,0,42
77,209,0,42
77,211,0,42
78,225,15000,42
