Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
167,71650,34,200,28339,38
208,59892,38,231,21467,35
197,74772,36,167,33881,39
165,101004,35,151,43624,37
227,58122,33,215,27435,41
148,36589,38,127,27062,37
145,43842,36,149,28986,34
215,32758,34,136,25021,38
136,34170,40,247,29537,35
144,33890,38,143,24210,39
259,33768,36,143,28328,36
170,35669,34,209,94518,35
142,23061,39,171,27503,39
234,34518,38,140,26641,43
146,33115,36,234,35640,33
125,39147,34,144,30340,37
229,29738,39,154,44476,41
140,25235,38,205,31276,45
135,31804,36,128,24962,36
266,27737,34,140,23902,40
