Res_Time_GQL,Cpu_usage_Rest,Ram_Usage_Rest,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
76,5676,34,292,5714,32
89,4039,34,62,1564,32
122,4787,34,54,2971,33
66,3848,34,45,548,33
80,8042,32,115,1167,33
78,3984,32,131,2322,33
146,5958,32,44,1590,33
72,4466,32,61,1644,33
78,3947,33,52,2924,33
80,4289,33,63,3696,33
132,4678,33,45,2446,33
64,4169,33,60,1717,33
78,3811,33,198,3076,33
79,4094,33,52,2773,33
153,4067,33,72,2826,33
65,3956,33,85,2680,33
80,4555,34,51,2544,33
78,3203,34,132,2543,33
140,4292,34,133,3369,33
79,4114,34,56,3011,33
78,4099,34,60,3026,33
79,4145,34,81,2561,33
138,4677,34,58,3549,33
59,11003,35,44,2738,33
59,4136,35,227,3194,33
78,4241,35,50,2579,33
79,4347,35,50,4865,33
78,4239,35,50,3037,33
80,4228,35,82,2544,33
139,4408,35,56,1667,33
161,3981,36,100,1916,33
76,7617,36,43,1971,33
60,4215,36,138,3065,34
78,4005,36,38,2140,34
150,3882,36,39,1371,34
69,3925,36,41,2356,33
77,3327,37,60,1792,33
60,3949,37,44,2691,33
167,4372,37,57,2747,33
71,3766,37,194,3313,33
78,4648,37,86,2562,34
57,4024,37,73,1641,34
49,2198,37,56,2006,34
50,3372,38,59,1489,34
58,2018,38,64,1788,33
59,2045,38,48,2386,33
57,33016,38,138,2847,33
59,2978,38,41,2507,34
120,21413,33,40,2344,34
78,4501,33,40,2587,34
79,4357,33,50,2774,34
58,2305,33,50,2542,34
60,3793,34,61,8970,33
69,3413,34,70,3330,33
69,6472,33,170,2602,34
341,3895,33,66,1776,34
236,4692,33,51,1362,34
219,10333,34,39,1432,34
219,4629,34,53,1783,34
121,4155,33,60,3128,34
135,3695,33,50,2923,34
220,4165,33,61,6820,34
236,3030,34,50,2322,34
240,4394,34,148,1699,34
199,8061,34,53,2274,34
218,6716,33,46,2139,34
219,4531,33,42,2994,34
168,4193,34,63,2926,34
72,4399,34,75,2883,34
74,3422,34,50,3122,34
60,2517,34,142,2152,34
63,3731,33,50,3391,34
56,2044,33,59,2997,34
80,4588,34,69,2492,34
112,4616,34,62,2971,34
65,4238,34,49,2632,34
79,4192,34,44,2401,34
59,4218,33,56,2901,35
165,4618,34,136,4685,34
73,3446,34,54,3194,34
129,4574,34,50,2903,34
68,3845,34,51,3172,34
140,4069,34,58,8517,34
78,3435,34,60,1962,34
78,4080,34,60,27708,34
80,4611,34,50,2741,35
138,2644,34,140,3198,35
56,3507,34,61,4470,34
62,2982,34,47,3604,34
59,3324,34,52,5560,34
135,1677,34,50,2403,34
62,3697,34,50,2486,34
80,4510,34,40,2590,35
55,2500,34,40,2603,35
54,3062,34,50,2592,35
66,3418,34,134,2710,35
69,3563,34,62,4669,34
134,3389,34,62,2308,34
74,4342,34,68,1865,34
59,3373,34,52,1607,35
77,2783,34,51,1787,35
61,3865,34,48,1557,35
56,2559,34,53,1274,35
62,4342,34,126,2099,35
124,4058,34,58,2167,35
61,3978,35,44,1406,35
78,1669,34,49,1883,35
49,1848,34,51,2110,35
60,1857,35,43,1425,35
89,4654,35,47,2195,35
51,4294,35,40,2200,36
126,3485,35,49,2118,36
71,3666,34,142,1651,36
79,8739,34,58,5535,36
58,3223,35,63,1301,36
158,4257,35,87,2395,35
61,5113,35,50,1714,35
78,4077,35,41,1999,35
59,6062,34,50,1747,35
78,4040,35,41,2389,35
79,13147,35,134,1690,35
79,4409,35,64,1934,35
140,3154,35,39,1751,35
159,3926,35,49,1689,35
79,9280,35,52,3899,35
79,4143,35,41,2654,35
77,3953,35,40,2928,36
137,2346,35,40,2902,36
61,2707,35,50,3058,36
58,3988,35,50,3187,36
78,3992,35,100,2705,36
60,4283,35,49,2361,36
78,4142,35,61,2723,36
80,5506,35,63,5842,35
158,4639,35,54,2189,35
