Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
74,10989,34,70,3188,33
46,3468,34,58,3043,33
64,4317,34,60,2651,33
68,2930,34,40,1766,33
58,3867,34,80,10799,34
70,3017,34,40,2531,34
357,4286,35,59,2553,34
239,4196,35,41,2277,34
219,4183,35,61,4147,33
68,3960,35,58,2265,33
178,4448,35,41,7515,33
238,4521,35,60,2120,33
220,3561,35,39,2194,34
207,4199,36,71,2652,34
180,3764,36,432,2620,34
119,3991,36,56,2634,34
58,3981,36,40,2217,34
69,4191,36,60,1733,34
120,4326,36,369,2558,33
56,3742,36,50,2566,34
60,8387,31,40,2063,34
78,3937,31,434,3841,34
58,3357,31,67,3715,34
69,3862,31,48,2158,34
81,3789,31,51,2196,34
106,3976,32,165,2838,34
61,3751,32,55,2835,34
58,3876,32,60,2548,34
79,5820,32,81,2415,34
59,3310,32,58,2262,34
57,3713,32,43,1906,34
68,5823,31,288,2464,34
134,3238,31,89,2865,34
55,7063,31,39,2084,34
59,4140,31,60,1694,34
79,4601,32,40,3345,34
58,4217,31,60,1958,34
70,3438,31,173,2009,34
69,3465,31,107,1748,34
120,3448,31,69,1507,34
60,4475,32,62,1972,34
57,2717,32,50,1989,34
82,5364,31,238,2676,34
66,3826,31,60,2645,34
79,3636,31,43,2205,34
68,4332,32,68,2335,34
106,38487,32,50,2413,34
80,1819,32,39,1774,34
60,2454,32,61,1821,34
73,4537,31,43,1998,34
54,3691,32,246,1815,34
51,10892,32,61,2173,34
68,4437,32,50,2093,34
122,4226,32,52,2372,35
55,4169,32,275,3726,34
57,3640,32,73,14244,34
89,2502,32,39,1812,34
69,3124,32,81,2674,34
71,4157,32,60,2699,34
67,3253,32,79,8459,34
359,3890,32,191,2235,35
229,5331,32,60,2850,35
217,3374,32,62,2148,35
70,3831,32,48,1929,35
178,3919,32,55,2131,35
172,3812,32,55,2651,35
267,4541,32,243,2153,35
177,4864,32,46,2251,35
300,2596,32,64,2344,35
216,2607,32,56,9924,35
50,2004,32,61,19531,36
70,3607,32,58,2399,36
44,1661,32,46,3009,36
137,4586,32,195,6439,34
56,3966,32,107,1748,34
69,3437,32,59,1408,35
79,18732,32,50,1264,35
50,4507,32,304,1530,35
47,3124,33,77,2423,35
71,5519,32,40,2312,35
144,3527,32,40,2386,35
53,3255,32,81,2577,35
58,4189,32,63,2486,35
79,4207,33,57,2672,35
69,4421,33,168,2484,35
69,9072,33,52,2313,36
69,3675,32,60,2697,36
113,2165,32,63,2834,36
56,3918,33,55,2557,36
70,3227,33,49,2301,36
68,3644,33,113,4215,36
60,4035,33,133,2892,36
58,3781,32,45,2384,35
70,4226,33,40,2128,35
129,4166,33,72,2339,35
57,3671,33,49,2818,35
68,2247,33,63,2310,35
81,3465,33,56,2118,35
50,5320,32,196,2582,35
58,3997,33,45,2584,35
57,2215,33,59,2168,35
51,3907,33,49,2058,36
58,3480,33,51,2176,36
69,5214,33,49,1725,36
112,2061,33,141,9444,36
46,11016,33,135,2231,36
57,3121,33,74,1424,36
81,3873,33,59,1611,36
68,3117,33,41,2292,36
50,4496,33,61,2178,36
49,17042,33,60,3910,35
69,4920,33,59,2144,35
67,2801,33,165,2001,35
53,4104,33,55,2636,35
125,4905,33,39,2327,35
51,1941,33,61,2062,36
60,5942,33,79,2568,36
89,4018,33,47,2617,36
59,3230,34,64,2260,36
70,3633,34,49,2126,36
59,3579,34,40,1412,36
124,2157,34,140,1808,36
64,3945,34,41,2672,36
78,3259,34,68,2208,36
69,4133,34,61,2222,36
59,3760,34,51,2789,36
59,2385,35,59,2795,37
48,3709,34,88,2019,37
132,3527,34,103,1358,37
85,2384,34,58,3444,36
50,13363,34,58,1467,36
80,7324,34,51,1973,36
60,3679,34,41,1643,36
80,2700,34,60,2431,36
61,4332,34,59,2376,36
108,4232,34,41,2112,36
77,3615,34,58,1558,36
79,5190,34,98,1218,36
78,3743,34,43,1659,36
130,4652,34,40,1675,36
58,3648,34,60,1638,36
59,3942,34,40,2076,37
87,3590,34,70,1974,37
58,1804,34,60,7304,37
76,10506,36,50,2403,37
55,3366,36,39,2407,37
117,2916,34,122,2008,37
54,2383,36,60,4832,36
60,4072,36,58,69577,30
79,3878,34,40,2600,30
59,4409,35,58,1968,30
57,3677,35,42,1973,30
58,37135,35,39,2547,30
140,3667,35,49,2485,30
59,3389,35,51,1749,30
58,2235,35,127,2605,31
89,2345,35,64,2149,31
60,3886,35,59,2531,31
69,3586,36,50,2567,31
70,3798,36,79,2878,31
113,3758,36,60,2846,31
63,3455,36,60,2585,31
79,3275,36,39,2265,31
78,3268,35,110,2331,31
143,3784,35,52,2610,31
76,4371,35,58,2307,31
89,4145,35,41,11055,32
69,3346,35,59,2355,32
139,2932,35,41,2453,32
67,3548,35,61,2917,32
57,3646,35,59,2563,32
90,3830,35,40,2342,32
152,4164,35,115,2670,32
56,4018,36,45,2682,32
68,5033,35,60,2577,32
79,3734,35,89,2436,32
167,3976,35,60,2550,32
61,6894,35,50,2561,32
59,10729,35,60,2370,33
77,4045,36,40,2251,33
59,13589,36,120,2623,33
68,5289,35,61,2983,33
71,3892,35,59,2836,33
112,15522,36,59,2677,33
73,2744,36,41,2132,33
71,6792,36,59,2311,33
59,3880,36,40,2375,33
59,5669,35,61,2986,33
56,2905,36,142,2836,31
49,2374,36,57,2665,31
150,4191,36,50,2450,31
58,6505,36,70,2614,31
59,2148,36,59,2365,31
80,5230,36,40,1999,31
61,3903,36,61,2348,31
77,2189,36,39,2317,31
59,3710,36,148,2548,31
115,3970,36,53,20367,32
63,13722,36,59,2881,32
59,4946,36,60,2541,32
79,4236,36,61,2780,32
58,3675,36,69,2609,32
59,4031,36,48,1862,32
69,3041,36,70,1485,32
129,3766,36,102,1643,32
57,5040,36,59,12235,32
57,2254,36,60,1273,32
79,3367,36,50,1686,32
70,3761,36,39,1309,33
69,3853,36,62,1594,33
58,3676,37,39,1840,33
120,3224,36,71,2467,33
59,3786,36,49,2333,33
59,2229,36,95,1732,33
81,3520,36,45,1446,33
60,3412,37,39,1393,33
59,17087,37,40,1087,33
218,5561,36,60,1393,33
228,3780,36,61,1200,33
220,4331,36,39,1472,33
245,5069,37,62,7655,34
72,5157,37,39,1838,34
150,3338,37,142,7839,31
188,5865,36,79,2434,32
271,2891,36,39,13671,32
173,3652,37,63,1590,32
274,3617,37,57,1623,32
243,13775,37,39,1174,32
214,4128,37,41,1732,32
210,4200,37,39,1680,32
218,5417,36,61,1600,32
248,4245,37,106,2190,32
153,5681,37,55,2711,32
54,3689,37,41,2440,32
59,3639,37,58,2714,32
81,4286,37,39,2204,33
176,4841,36,59,11356,33
221,3332,37,41,1255,33
225,4244,37,60,1378,33
223,2878,37,40,1598,33
222,3709,37,129,2117,33
225,3936,37,61,1887,33
61,3857,37,52,2270,33
58,4016,37,71,2847,33
58,3763,37,47,2219,33
190,2491,37,51,2091,33
129,4235,37,50,2354,34
59,4163,37,39,2105,34
60,8901,37,61,2133,34
123,5253,37,140,2531,34
54,3724,37,60,2697,34
130,3715,37,58,1938,34
219,3438,37,41,5012,32
100,3134,37,40,2231,32
137,4215,38,60,2252,32
173,6745,37,41,2583,32
131,2874,37,80,2188,32
61,3513,37,96,2059,32
59,4038,37,44,2400,32
157,3381,38,41,1957,33
184,2545,38,69,2343,33
225,4245,37,49,2148,33
220,3840,37,39,1449,33
223,2743,37,62,1841,33
224,4093,37,40,2756,33
220,2106,38,60,2257,33
66,3857,38,120,1766,33
67,4875,37,68,1434,33
60,4061,37,51,1505,33
235,3770,37,41,1910,33
162,12749,38,60,2116,33
61,3936,38,40,2072,34
52,1785,38,59,1946,34
291,4035,38,52,2533,34
218,5443,37,59,2938,34
111,3993,38,149,2339,34
160,4173,38,41,2794,34
145,6241,38,60,2281,34
49,2438,38,38,2141,34
81,3644,38,62,1865,34
68,3999,37,40,2584,34
168,3771,38,70,2615,34
225,4160,38,50,15211,35
56,3895,38,108,1330,35
58,6787,38,51,1603,35
88,4013,38,39,1097,35
208,2297,38,41,1316,35
180,3311,38,60,1484,35
47,2872,38,62,2283,35
79,3803,38,70,2617,35
93,15219,38,99,2596,35
195,4069,38,106,6125,33
176,3948,38,52,1100,33
222,4101,38,51,1563,33
225,3934,38,40,1449,33
58,2028,38,61,2278,33
110,2178,38,79,2505,33
229,2402,38,41,2558,33
91,4244,38,40,2260,33
103,4029,39,60,2094,33
56,2353,38,99,2507,33
89,3876,38,41,2400,34
68,3391,38,40,2347,34
209,2869,38,60,2265,34
170,4253,39,39,1944,34
231,2991,39,59,1537,34
214,3645,38,50,1150,34
236,4012,38,60,1212,34
210,4048,38,51,1648,34
230,3674,39,124,2121,34
216,5686,39,55,1500,34
232,4255,39,41,1633,34
215,5196,38,61,1476,34
223,3098,38,40,2400,35
223,4166,38,58,2146,35
63,2396,39,48,2959,35
49,2650,39,52,2176,35
80,5739,39,41,2030,35
420,3882,39,128,2915,35
88,8951,38,52,2445,35
180,3988,38,40,2379,35
159,4170,39,60,2052,35
223,3920,39,50,2128,35
223,7225,39,50,2327,35
61,3899,39,50,2528,36
67,5286,38,50,2598,36
111,4033,39,38,1876,36
195,4172,39,131,2573,33
157,5773,39,58,762,33
222,4229,39,51,815,33
221,4027,39,50,1060,33
223,5122,39,50,1335,34
471,4284,39,41,1237,34
220,3301,39,50,11225,34
229,4183,39,60,1531,34
68,4061,39,50,2198,34
189,4259,39,117,2236,34
208,4122,39,44,2096,34
218,5279,39,38,1025,34
177,4013,39,61,1156,34
290,4106,39,80,1751,34
199,6197,39,61,1935,34
238,4186,39,60,2249,35
207,2638,39,39,2062,35
223,73551,30,141,2516,35
237,4983,30,60,2558,35
168,3781,30,40,2726,35
415,4435,30,59,2197,35
272,3196,30,40,1798,35
239,4285,30,60,1364,35
211,4846,31,40,1741,35
228,4970,30,61,1793,35
77,3339,30,39,1956,35
180,4087,30,125,2052,35
198,3783,30,56,2274,36
188,3768,30,39,2180,36
273,3695,31,120,2150,36
174,4221,31,60,2491,36
294,3871,30,60,2193,36
229,3243,30,60,1869,36
146,4220,30,128,2334,36
60,3646,31,52,1987,36
59,3673,31,50,2335,36
80,3818,31,50,2161,36
58,4953,30,50,2282,36
60,3543,30,50,2350,37
68,3361,31,70,2500,37
126,4135,31,49,2059,37
52,4042,31,40,2119,37
69,4184,31,113,1650,37
69,5520,30,56,1260,37
67,3688,30,113,2192,37
69,10712,31,59,2791,37
58,3658,31,60,2670,37
130,8237,31,60,12343,37
48,3637,31,61,2488,37
47,2273,31,116,2127,38
100,4083,30,41,1574,38
58,3582,31,40,1131,38
58,3592,31,61,1254,38
69,3643,31,40,1303,38
129,3206,31,60,1904,38
78,4092,31,41,2273,38
70,5784,30,60,2491,38
57,3905,31,40,2373,38
69,3974,31,141,2170,38
68,3687,31,69,2036,38
48,2604,31,49,1707,39
123,1828,31,41,1744,39
68,3716,31,60,1756,39
48,3598,31,40,2327,39
99,3919,31,59,1830,39
150,4305,31,40,1893,39
58,3522,31,61,10556,39
60,3930,31,105,1878,39
78,3658,31,55,1765,39
58,5099,31,60,6532,35
60,3531,31,58,1940,35
67,3350,31,41,1022,35
138,3528,31,59,1434,35
50,3616,31,41,1499,35
70,2979,31,61,2238,35
69,4107,31,39,1884,35
59,3672,31,110,2128,35
58,3617,31,91,2004,35
