Res_Time_GQL,Res_Time_REST
42,56
33,33
31,29
31,29
31,31
33,32
35,44
31,29
31,30
33,29
29,38
31,29
30,29
31,29
30,36
30,29
30,29
30,28
31,41
33,27
31,42
30,29
30,27
30,28
31,28
39,29
29,28
29,29
38,28
30,60
29,29
31,29
29,29
29,29
29,28
29,28
29,29
30,30
29,31
30,31
29,41
30,29
30,28
29,29
29,28
31,28
29,32
29,29
29,44
30,31
29,30
30,29
29,28
29,28
29,28
29,28
30,28
30,29
31,28
30,28
30,37
29,29
45,28
30,28
49,28
35,28
30,28
29,28
30,28
29,29
29,41
29,28
30,28
30,28
35,28
28,28
30,28
30,28
29,29
30,28
29,28
29,29
30,34
29,36
29,28
30,28
30,30
30,29
32,33
30,30
29,29
31,28
29,29
29,29
31,29
29,30
32,28
38,29
29,28
30,29
43,29
30,28
29,28
29,47
32,70
29,29
29,28
29,29
29,29
31,28
30,32
31,31
30,29
54,28
29,28
29,28
30,29
29,28
30,41
29,28
30,30
29,35
29,27
28,28
29,27
28,28
30,28
29,28
31,28
30,27
28,31
29,39
29,28
35,28
29,29
37,28
43,28
29,27
29,28
29,28
29,29
29,27
31,27
29,28
28,28
29,28
28,27
29,28
32,28
31,27
28,28
30,28
29,28
29,28
29,37
29,28
29,44
29,28
29,28
30,43
29,28
29,29
29,29
28,28
29,28
29,28
29,33
30,27
29,28
30,28
41,27
34,28
30,28
37,28
30,44
42,28
30,28
29,29
28,28
30,30
28,28
29,28
29,28
29,29
29,36
28,29
29,27
29,29
45,28
28,32
31,28
31,28
30,46
29,28
30,29
29,64
30,27
30,29
29,28
28,29
29,28
29,29
31,28
30,28
29,34
30,29
29,28
45,27
29,28
30,28
30,28
30,30
29,28
29,28
29,27
30,29
29,28
29,28
30,28
58,30
29,28
30,28
29,27
29,28
30,29
30,27
28,27
29,28
28,29
29,45
29,29
52,28
29,31
28,29
30,28
29,28
29,29
30,30
32,28
28,29
31,28
29,28
34,28
30,28
30,28
37,28
30,29
29,28
29,29
29,28
31,28
28,29
52,27
37,28
30,29
30,28
30,28
33,27
29,28
30,28
29,28
30,28
30,29
31,28
43,27
32,29
29,28
33,43
29,28
28,28
35,30
29,29
29,28
28,28
30,29
30,28
38,29
29,27
29,29
29,28
31,28
29,30
29,28
31,28
29,28
38,30
34,51
29,40
30,28
43,29
31,29
30,29
30,30
29,28
29,27
30,28
52,30
30,28
30,30
30,28
