Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
50,31000,44,58,0,45
28,0,44,44,0,45
37,0,44,32,0,45
30,16000,44,30,0,45
29,0,45,29,0,45
31,0,45,29,0,45
29,0,45,30,0,45
30,0,45,30,0,45
29,0,45,30,0,46
29,0,45,31,0,46
29,0,46,29,0,46
29,0,46,29,0,46
29,15000,46,30,0,46
29,0,46,29,0,46
29,0,46,30,0,46
28,0,46,29,0,46
29,0,46,29,0,47
29,0,47,30,0,47
28,0,47,31,0,47
29,0,47,30,0,47
29,0,47,29,0,47
29,0,47,29,0,47
29,0,47,28,16000,47
29,0,48,29,0,47
28,0,48,30,0,48
29,0,48,30,0,48
29,0,48,29,0,48
29,0,48,29,0,48
29,0,48,29,0,48
29,0,49,28,0,48
29,0,49,29,0,48
28,0,49,28,0,48
29,0,49,29,0,49
29,0,49,29,0,49
28,0,49,30,16000,49
29,0,49,39,0,49
29,0,50,30,0,49
28,0,50,28,0,49
29,0,50,38,0,49
30,0,50,29,0,49
43,0,50,29,0,50
29,0,50,29,0,50
28,0,51,29,0,50
41,16000,51,28,0,50
28,0,51,29,0,50
29,0,51,29,0,50
30,31000,51,28,0,50
30,0,52,28,0,50
29,0,52,28,15000,51
30,0,42,29,0,51
31,0,42,29,0,51
43,0,42,29,0,51
31,0,42,28,0,51
31,0,42,28,0,51
28,0,42,29,0,51
28,16000,43,29,0,51
29,0,43,28,0,51
28,15000,43,28,0,52
29,0,43,29,0,52
28,0,43,29,0,52
29,0,43,31,0,52
30,0,44,29,0,52
29,0,44,28,0,52
29,0,44,28,0,52
31,0,44,32,0,52
28,0,44,29,0,53
28,0,44,29,0,53
29,0,45,28,0,53
30,0,45,28,0,53
29,16000,45,29,15000,53
29,0,45,28,0,53
28,0,45,28,0,53
28,0,45,31,0,53
30,0,45,47,0,54
29,0,46,30,0,54
29,0,46,28,0,54
29,15000,46,81,0,54
28,0,46,29,0,54
47,0,46,40,0,54
29,0,46,36,0,54
29,0,47,31,0,54
42,0,47,30,0,44
30,16000,47,30,0,44
28,0,47,28,15000,45
29,15000,47,30,0,45
29,0,47,34,0,45
28,0,48,30,0,45
28,0,48,29,0,45
29,16000,48,30,0,45
29,0,48,29,0,45
29,0,48,28,0,46
31,0,48,29,0,46
29,0,49,48,0,46
28,0,49,29,0,46
29,0,49,29,15000,46
29,0,49,28,0,46
