Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
79,15000,51,95,0,49
61,0,51,59,0,49
58,0,51,60,0,49
57,0,51,61,0,49
62,0,51,57,0,49
60,0,51,56,0,49
60,0,52,60,0,49
59,0,52,58,16000,49
57,0,52,63,0,49
58,16000,52,59,0,50
64,0,52,51,0,50
65,62000,32,59,0,50
69,0,32,60,0,50
62,0,32,57,0,50
59,0,32,63,0,50
53,0,33,55,0,50
65,0,33,61,0,50
54,0,33,66,16000,50
57,0,33,61,0,51
57,0,33,63,0,39
57,0,33,58,0,40
61,16000,33,61,0,40
56,0,34,60,0,40
57,0,34,59,0,40
60,0,34,61,0,40
65,15000,34,57,0,40
58,0,34,74,0,40
54,0,34,58,0,40
63,0,35,60,0,40
54,0,35,59,0,41
59,0,35,87,0,41
68,0,35,66,0,41
60,0,35,56,0,41
60,0,35,63,0,41
55,0,35,57,0,41
56,0,36,65,16000,41
55,0,36,58,0,41
53,0,36,73,0,41
59,0,36,99,0,42
55,0,36,66,0,42
54,16000,36,62,0,42
59,16000,36,62,0,42
54,0,37,55,0,42
58,0,37,63,0,42
56,0,37,60,0,42
62,15000,37,62,0,42
54,31000,37,56,0,43
66,0,38,61,0,43
60,0,38,58,0,43
52,0,38,56,0,43
58,0,38,59,0,43
61,0,38,53,0,43
60,0,38,62,0,43
56,0,38,58,0,43
67,16000,39,57,16000,43
55,0,39,78,0,44
57,0,39,69,0,44
60,0,39,76,0,44
60,0,39,57,0,44
57,0,39,59,0,44
54,0,39,60,16000,44
57,0,40,63,0,44
53,0,40,61,16000,44
60,0,40,59,0,44
54,0,40,65,0,45
59,16000,40,63,0,45
55,0,40,56,0,45
57,0,40,58,0,45
62,0,41,63,0,45
57,0,41,58,0,45
57,0,41,60,0,45
62,0,41,62,0,45
72,15000,41,58,16000,46
57,0,41,52,0,46
61,0,42,79,0,46
61,0,42,72,0,46
55,16000,42,62,0,46
58,0,42,58,0,46
58,0,42,59,0,46
60,0,42,60,0,46
60,0,42,59,0,46
61,16000,43,56,0,47
59,0,43,56,0,47
58,0,43,59,0,47
59,0,43,54,0,47
61,0,43,58,0,47
55,0,43,63,0,47
60,15000,43,54,0,47
65,0,44,63,0,47
89,0,44,58,0,47
76,0,44,62,0,48
55,0,44,60,0,48
63,0,44,58,0,48
58,15000,44,71,16000,48
57,0,45,54,0,48
59,16000,45,54,0,48
61,0,45,60,0,48
60,0,45,55,0,48
59,0,45,59,0,48
60,0,45,63,0,49
60,0,45,61,0,49
57,0,35,58,0,49
75,16000,35,59,0,49
61,0,35,64,0,49
63,0,35,57,0,49
58,0,35,56,0,49
