Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
46,0,30,56,0,45
33,0,30,33,0,45
40,16000,31,40,0,45
43,0,31,31,0,45
32,0,31,32,0,45
65,0,31,30,0,45
33,0,31,30,0,46
31,0,31,29,0,46
35,0,32,32,0,46
33,0,32,30,0,46
39,16000,32,31,0,35
34,0,32,30,16000,35
33,0,33,30,0,35
31,0,33,29,0,35
32,0,33,31,0,36
33,0,33,31,0,36
31,0,34,32,15000,36
32,0,34,31,0,36
30,0,34,30,0,36
32,0,34,30,0,36
30,0,34,31,0,36
38,0,34,29,0,36
31,0,35,30,0,37
31,0,35,31,0,37
31,0,35,31,0,37
31,0,35,32,0,37
30,0,35,31,0,37
30,16000,35,31,0,37
30,0,36,29,0,37
34,0,36,39,0,37
29,0,36,29,0,38
30,0,36,30,0,38
38,16000,36,36,0,38
30,0,36,28,0,38
31,0,37,28,0,38
30,0,37,30,0,38
30,0,37,29,0,38
29,0,37,29,0,38
29,0,37,30,16000,39
30,0,37,28,0,39
50,0,38,29,0,39
30,0,38,31,0,39
30,0,38,28,0,39
30,0,38,28,0,39
35,0,38,29,0,39
30,0,38,28,0,39
32,0,39,29,15000,40
30,0,39,30,0,40
30,0,39,29,0,40
34,0,39,29,0,40
30,0,39,29,0,40
30,0,39,28,0,40
32,0,40,29,0,40
31,0,40,29,0,40
31,0,40,30,0,41
31,0,40,30,0,41
30,0,40,29,0,41
31,0,41,30,0,41
31,0,41,29,0,41
31,0,41,30,0,41
31,0,41,30,16000,41
30,0,41,30,0,41
31,31000,41,30,0,41
30,0,42,30,0,42
30,16000,42,29,0,42
31,15000,42,28,0,42
31,16000,42,38,0,42
32,15000,42,28,0,42
35,0,42,28,0,42
31,0,43,35,0,42
30,0,43,29,0,42
30,0,43,28,0,43
30,16000,32,29,0,43
29,0,32,28,15000,43
30,0,32,29,0,43
31,47000,32,29,0,43
30,47000,32,28,0,43
30,0,32,29,0,43
31,0,33,29,0,43
30,0,33,31,0,43
30,0,33,30,0,44
30,0,33,32,0,44
30,0,34,71,0,44
41,0,34,40,0,44
30,0,34,32,0,44
31,0,34,29,0,44
30,0,34,30,0,44
30,16000,34,30,0,44
32,16000,35,28,0,45
47,0,35,30,16000,45
30,16000,35,27,0,45
30,16000,35,29,0,45
30,0,35,28,0,45
30,0,35,29,0,45
30,15000,36,28,0,45
30,0,36,29,0,45
30,0,36,29,0,46
30,0,36,29,0,46
38,0,36,28,0,46
30,0,36,29,0,46
33,0,37,28,0,46
30,16000,37,29,0,46
32,0,37,38,0,46
32,0,37,29,0,46
35,0,37,53,0,46
30,0,37,29,0,47
31,0,38,28,0,47
29,0,38,29,0,47
30,0,38,28,0,47
39,0,38,29,0,47
30,0,38,29,0,37
31,16000,38,30,0,38
30,0,39,29,0,38
30,0,39,28,0,38
39,0,39,29,0,38
30,0,39,29,0,38
29,0,39,29,0,38
30,0,39,29,0,38
31,0,40,31,0,38
31,0,40,29,0,39
31,16000,40,28,0,39
33,0,40,29,0,39
29,0,40,29,31000,39
31,16000,40,28,0,39
29,0,40,29,0,39
30,0,41,29,0,39
29,0,41,28,0,39
30,0,41,29,0,39
30,0,41,28,0,40
30,0,41,29,0,40
30,0,41,29,0,40
31,0,42,29,0,40
30,0,42,28,16000,40
30,0,42,29,0,40
30,0,42,29,15000,40
30,0,42,28,0,40
29,0,42,29,0,41
30,15000,43,30,0,41
30,0,43,38,0,41
30,0,43,29,0,41
31,16000,43,29,0,41
32,0,43,31,0,41
32,0,43,31,0,41
30,31000,44,29,0,41
31,0,44,29,0,41
30,0,34,28,0,42
29,0,34,29,0,42
30,16000,34,28,0,42
30,0,34,28,0,42
30,0,34,30,0,42
58,0,34,29,0,42
37,16000,35,29,0,42
30,0,35,28,0,42
45,15000,35,29,0,43
30,0,35,40,0,43
29,0,35,30,0,43
31,0,35,28,0,43
30,16000,36,29,0,43
31,0,36,37,0,43
31,0,36,29,0,43
30,15000,36,28,0,43
29,0,36,29,0,44
30,0,36,29,0,44
29,0,37,32,0,44
29,0,37,29,0,44
29,0,37,30,0,44
29,0,37,29,0,44
30,0,37,28,15000,44
30,16000,37,28,0,44
30,0,38,29,0,44
29,0,38,35,0,45
29,0,38,30,0,45
30,0,38,29,16000,45
29,0,38,28,0,45
30,0,38,28,0,45
30,0,39,30,0,45
29,0,39,44,0,45
