Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
41,0,58,60,0,34
31,0,58,47,0,34
32,0,59,41,0,35
31,0,59,42,0,35
32,0,47,32,0,35
32,0,47,38,0,35
33,16000,48,34,0,35
32,0,48,31,0,35
32,0,48,31,0,35
32,0,48,29,0,35
33,0,49,29,0,35
31,0,49,30,0,36
35,0,49,31,0,36
32,0,49,30,0,36
30,0,49,30,15000,36
30,0,50,30,0,36
31,0,50,29,0,36
33,0,50,31,16000,37
29,0,50,29,0,37
30,0,50,30,0,37
36,0,51,29,0,37
31,0,51,32,0,37
29,0,51,29,0,37
31,0,51,29,0,37
30,0,51,29,0,37
31,0,51,29,0,38
30,0,52,29,0,38
30,0,52,30,0,38
29,0,52,29,0,38
30,0,52,28,0,38
29,0,52,29,0,38
31,0,52,29,16000,33
29,0,53,29,0,33
30,0,53,29,0,34
30,0,53,29,0,34
30,0,53,29,0,34
31,0,53,28,0,34
30,0,53,29,0,34
30,0,54,38,0,34
38,0,54,30,0,34
30,0,54,30,0,34
29,0,54,41,15000,35
38,0,54,32,0,35
30,0,54,28,0,35
30,0,55,29,16000,35
30,0,55,29,0,35
46,0,55,29,0,35
36,0,55,29,0,35
32,0,55,29,0,36
69,0,56,28,0,36
31,0,56,29,0,36
41,0,56,30,16000,36
47,16000,56,29,0,36
40,16000,56,29,0,36
30,0,56,29,0,36
29,0,57,29,0,36
30,0,57,29,0,36
30,0,57,29,0,37
29,0,57,28,0,37
30,16000,57,30,0,37
30,16000,57,32,0,37
31,0,57,28,0,37
30,31000,58,29,0,37
30,0,58,30,0,37
44,0,58,30,0,37
30,0,58,30,0,38
29,0,58,28,0,38
30,15000,58,28,0,38
29,0,59,28,0,38
31,0,59,29,0,38
29,16000,59,29,0,38
30,0,59,57,0,38
29,0,59,31,0,38
31,0,59,28,0,39
31,0,60,29,0,39
31,0,60,29,0,39
29,0,60,30,0,39
30,0,60,32,0,34
29,0,61,34,0,34
32,16000,61,28,0,35
29,15000,61,30,0,35
30,0,61,36,0,35
32,0,61,28,0,35
29,0,50,30,0,35
30,16000,50,29,0,35
30,0,50,29,0,35
36,0,50,29,15000,35
31,0,51,30,0,36
30,0,51,29,0,36
30,15000,51,30,0,36
30,16000,51,29,0,36
30,0,51,28,0,36
29,0,51,31,31000,36
30,0,52,30,0,36
29,0,52,30,0,36
30,0,52,29,0,37
31,0,52,31,0,37
31,0,52,32,0,37
30,0,52,29,0,37
30,15000,53,29,0,37
30,0,53,29,0,37
29,0,53,29,0,37
30,0,53,29,0,37
30,0,53,41,16000,38
30,0,53,29,0,38
67,0,53,29,0,38
32,0,54,28,0,38
31,0,54,29,15000,38
30,15000,54,30,0,38
31,0,54,28,0,38
30,0,54,29,0,38
29,0,54,29,0,39
29,0,55,31,0,39
30,0,55,30,0,39
29,0,55,29,0,39
28,0,55,29,0,39
30,0,55,29,0,39
29,16000,55,30,0,39
30,0,55,30,0,39
28,0,56,28,0,39
39,0,56,29,0,40
30,0,56,48,0,40
30,16000,56,30,16000,40
65,0,56,29,0,35
33,0,56,37,0,35
30,0,57,29,0,36
28,0,57,28,0,36
30,0,57,29,0,36
29,0,57,28,0,36
29,0,57,29,0,36
30,0,57,29,15000,36
29,0,58,29,0,36
29,0,58,28,0,36
29,0,58,29,0,37
30,0,58,28,0,37
30,0,58,29,0,37
29,0,58,29,0,37
31,0,59,29,0,37
35,0,59,29,0,37
28,0,59,29,0,37
30,15000,59,29,0,38
29,0,59,29,0,38
29,0,59,28,0,38
28,0,59,29,0,38
31,0,60,31,0,38
29,0,60,29,0,38
29,0,60,67,0,38
30,16000,60,71,0,38
30,0,60,32,0,38
31,15000,60,40,0,39
29,0,61,35,0,39
29,0,61,30,15000,39
29,0,61,41,0,39
29,32000,61,30,0,39
29,0,61,30,0,39
36,15000,62,63,0,39
29,0,52,29,0,39
35,0,52,54,0,40
45,0,52,28,16000,40
29,0,52,31,0,40
31,16000,52,29,0,40
30,0,52,29,0,40
30,0,53,29,0,40
30,0,53,29,0,40
29,0,53,31,0,40
33,0,53,28,0,41
31,0,53,30,16000,41
30,0,53,28,0,41
30,0,54,29,0,41
30,0,54,33,0,36
31,0,54,30,0,36
31,0,54,29,0,37
51,16000,54,29,0,37
34,0,55,30,0,37
40,0,55,31,0,37
31,0,55,28,0,37
31,0,55,30,0,37
30,0,55,29,0,37
61,0,55,29,0,37
31,0,56,29,0,37
30,0,56,29,0,38
28,16000,56,29,0,38
29,0,56,29,0,38
29,0,56,29,0,38
30,0,56,37,0,38
30,0,57,31,0,38
29,0,57,29,0,38
30,0,57,30,0,38
29,0,57,29,0,39
29,0,57,28,0,39
29,0,57,30,0,39
41,0,57,29,0,39
29,0,58,32,0,39
29,0,58,30,0,39
38,0,58,29,0,39
29,0,58,29,0,39
33,0,58,33,0,40
30,0,58,29,0,40
30,0,59,29,0,40
29,0,59,28,0,40
29,0,59,31,0,40
31,0,59,28,0,40
31,0,59,29,0,41
30,0,59,29,0,41
30,0,59,30,0,41
29,0,60,28,0,41
30,16000,60,29,0,41
29,0,60,29,0,41
29,0,60,30,0,41
28,0,60,29,0,41
30,0,60,29,0,41
29,0,61,28,16000,42
29,0,61,29,0,42
29,0,61,30,16000,42
29,0,61,29,0,42
30,0,61,29,0,42
29,0,61,30,0,42
30,0,62,29,0,42
30,0,62,45,0,42
29,0,62,29,46000,30
29,15000,62,28,0,30
29,0,62,30,0,30
29,16000,62,49,0,31
28,0,63,29,0,31
30,0,63,30,0,31
30,0,63,29,0,31
30,0,63,28,0,31
28,0,63,28,0,31
45,0,63,29,0,31
30,0,53,29,0,31
30,0,53,49,0,32
33,16000,54,30,16000,32
29,0,54,30,0,32
29,0,54,47,0,32
29,0,54,29,0,32
30,0,54,30,0,32
29,0,54,30,0,32
29,0,55,29,0,32
29,16000,55,29,0,32
31,0,55,30,0,33
29,0,55,29,0,33
30,0,55,30,0,33
30,0,55,39,0,33
29,0,55,28,0,33
29,0,56,30,15000,33
28,0,56,51,0,33
29,16000,56,30,0,33
29,0,56,29,0,34
29,0,56,30,0,34
29,0,56,31,0,34
29,0,57,30,0,34
29,0,57,28,0,34
30,0,57,29,0,34
29,0,57,29,0,34
30,15000,57,31,0,34
29,0,58,29,0,35
29,0,58,28,0,35
29,0,58,30,0,35
29,0,58,29,0,35
29,0,58,29,0,35
28,0,59,28,0,35
29,0,59,29,0,35
29,0,59,30,0,35
31,16000,59,36,0,35
29,0,59,30,0,36
30,0,59,33,0,36
29,0,59,29,0,36
30,0,60,30,0,36
36,0,60,45,0,36
30,0,60,29,0,36
30,0,60,30,0,36
28,0,60,29,0,36
29,0,60,29,0,37
28,15000,61,30,0,37
30,0,61,32,0,37
30,0,61,29,0,37
28,16000,61,30,0,37
30,0,61,28,0,37
30,0,61,28,0,37
30,0,61,29,0,37
29,0,62,29,0,37
30,0,62,29,16000,38
29,15000,62,29,0,38
30,0,62,29,0,38
29,0,62,30,0,38
29,0,62,30,0,38
29,0,62,28,0,38
30,0,63,30,0,38
29,0,63,30,0,38
28,0,63,29,0,39
29,0,63,30,0,39
29,0,63,30,0,39
29,0,63,30,0,39
30,0,64,31,0,39
29,0,64,28,0,39
29,0,64,29,0,39
29,0,64,29,0,39
30,16000,64,30,0,40
29,0,64,31,0,40
29,15000,64,31,0,40
29,0,65,30,16000,40
36,0,65,42,0,40
29,0,65,30,0,40
30,16000,65,30,0,40
48,0,55,32,0,40
32,16000,55,30,0,41
30,15000,55,29,0,41
29,0,56,29,16000,41
29,0,56,29,0,41
29,0,56,30,15000,41
28,0,56,30,0,41
29,0,56,30,0,41
29,0,56,29,0,41
29,16000,56,30,0,42
29,0,57,29,0,42
29,0,57,30,0,42
29,0,57,30,0,42
29,16000,57,30,16000,42
29,0,57,31,0,42
29,0,58,29,0,42
29,0,58,30,0,42
31,0,58,30,0,43
28,0,58,29,0,43
28,0,58,30,0,43
29,0,58,32,0,43
29,0,58,29,16000,43
29,0,59,31,0,43
29,0,59,30,0,43
29,0,59,30,0,44
29,0,59,29,0,44
30,0,59,29,0,44
29,0,59,44,0,44
30,16000,60,28,0,33
29,0,60,30,0,33
29,0,60,29,0,33
29,0,60,31,0,33
29,0,60,57,0,33
30,0,60,38,0,33
30,0,60,30,0,34
30,0,61,50,0,34
30,0,61,28,0,34
40,0,61,29,0,34
29,0,61,29,0,34
29,0,61,30,0,34
29,0,61,28,0,34
29,0,61,40,16000,34
29,15000,62,29,0,35
29,0,62,32,0,35
30,0,62,29,0,35
28,0,62,30,0,35
29,0,62,30,0,35
30,0,62,29,15000,35
30,0,62,30,0,35
29,0,63,41,0,35
29,0,63,29,0,36
29,0,63,46,0,36
30,0,63,30,0,36
30,0,63,29,0,36
29,0,63,29,0,36
29,0,64,29,0,36
29,0,64,30,0,36
29,0,64,29,0,36
28,0,64,29,0,37
30,0,64,28,0,37
31,15000,64,66,0,37
29,16000,64,29,0,37
29,16000,65,29,0,37
29,0,65,30,0,37
29,0,65,29,0,37
28,0,65,30,0,37
30,0,65,29,0,38
31,0,65,28,0,38
30,0,66,30,0,38
30,0,66,52,0,38
30,0,66,34,0,38
31,0,66,60,0,38
30,0,66,29,0,38
30,0,66,28,0,38
29,0,67,28,16000,38
37,0,67,31,16000,39
29,0,67,29,0,39
29,0,67,29,0,39
33,0,57,29,0,39
42,0,57,29,0,39
29,0,57,39,0,39
32,0,57,29,0,39
29,16000,57,29,15000,39
30,0,57,29,0,40
37,15000,58,28,0,40
29,0,58,29,0,40
29,0,58,29,0,40
30,0,58,30,0,40
29,0,58,36,0,40
29,0,58,28,0,40
29,0,59,47,0,40
29,0,59,42,0,41
30,0,59,29,0,41
30,0,59,28,0,41
29,16000,59,30,0,41
30,0,59,29,0,41
29,0,59,29,16000,41
31,0,60,29,0,41
29,0,60,29,0,41
29,0,60,86,0,42
30,0,60,28,0,42
29,0,60,29,0,42
29,0,60,38,0,42
29,0,60,28,0,42
31,0,61,31,0,42
29,0,61,54,0,42
29,15000,61,29,0,42
44,0,61,29,0,43
30,0,61,28,0,43
29,0,61,29,0,43
59,0,62,29,0,43
29,0,62,38,0,43
29,0,62,28,0,43
29,0,62,29,0,43
30,0,62,29,0,43
33,0,62,28,0,43
30,0,63,29,0,44
29,0,63,29,0,44
29,0,63,34,0,44
29,0,63,29,0,35
30,0,63,29,0,35
30,0,63,29,0,35
29,0,63,28,0,35
37,16000,64,29,15000,35
46,0,64,29,16000,35
30,0,64,29,0,35
28,0,64,29,0,36
29,0,64,47,0,36
30,0,64,29,0,36
29,0,64,30,0,36
29,0,65,28,0,36
54,15000,65,30,0,36
31,0,65,32,16000,36
36,15000,65,30,0,36
29,0,65,30,0,37
30,0,66,41,0,37
36,0,66,30,0,37
29,0,66,43,0,37
29,0,66,31,0,37
30,0,66,29,0,37
30,0,66,41,16000,37
30,16000,66,28,0,37
30,0,67,28,0,37
29,0,67,30,0,38
31,0,67,31,0,38
41,0,67,29,0,38
31,0,67,30,0,38
29,0,67,31,0,38
29,0,68,30,16000,38
29,15000,68,34,0,39
29,16000,68,29,0,39
38,0,68,28,0,39
29,0,68,28,0,39
30,0,68,29,0,39
30,0,69,42,0,39
32,0,69,29,0,39
31,62000,59,29,0,39
29,0,59,30,0,39
31,0,59,29,0,40
30,0,59,30,0,40
29,0,59,29,0,40
29,0,59,29,0,40
31,0,59,29,0,40
33,0,60,28,31000,40
35,0,60,29,0,40
31,0,60,29,0,40
29,0,60,30,0,41
29,0,60,35,0,41
30,0,60,28,0,41
29,0,60,30,0,41
29,0,61,30,0,41
29,0,61,30,0,41
29,0,61,28,0,41
36,0,61,38,0,41
29,16000,61,28,0,41
29,0,61,29,0,42
29,0,62,74,0,42
65,0,62,30,0,42
30,0,62,28,0,42
40,0,62,30,0,42
29,0,62,41,0,42
30,0,62,29,0,42
30,15000,62,31,0,42
29,0,63,31,0,43
30,0,63,29,15000,43
31,0,63,30,0,43
29,0,63,29,0,43
30,0,63,30,0,43
30,0,64,28,0,43
31,0,64,28,0,43
30,0,64,29,0,43
29,0,64,30,16000,44
30,0,64,30,0,44
30,0,64,29,0,44
31,0,65,30,0,44
30,16000,65,29,0,44
53,0,65,30,0,44
30,0,65,29,0,44
29,0,65,28,0,44
29,0,66,29,0,44
37,16000,66,30,0,45
29,0,66,29,0,45
30,0,66,36,0,45
29,0,66,29,0,45
30,15000,66,28,0,45
30,0,66,36,0,45
30,0,67,32,15000,45
30,0,67,30,0,45
29,0,67,30,15000,46
30,0,67,41,0,46
30,0,67,29,0,46
41,0,67,29,0,46
30,0,67,31,0,46
29,0,68,30,0,37
34,0,68,34,0,37
29,16000,68,29,16000,37
29,0,68,29,0,37
29,0,68,30,16000,37
29,0,68,28,0,37
30,0,68,28,0,37
31,0,69,30,15000,38
29,15000,69,32,0,38
30,0,69,28,0,38
29,0,69,30,0,38
29,16000,69,29,0,38
29,0,69,28,0,38
29,0,69,29,0,38
29,0,70,30,16000,38
31,0,70,29,0,39
30,0,70,31,0,39
29,16000,70,36,0,39
30,0,70,28,0,39
55,0,60,29,0,39
29,0,61,28,0,39
29,0,61,28,0,39
30,0,61,30,0,39
30,0,61,28,0,40
29,0,61,29,0,40
30,0,61,28,0,40
29,0,61,29,0,40
29,0,62,35,0,40
29,0,62,42,0,40
29,0,62,30,0,40
30,0,62,30,0,40
32,0,62,49,0,40
28,0,62,28,0,41
30,15000,62,29,0,41
58,0,63,40,0,41
30,0,63,28,15000,41
29,0,63,29,0,41
36,0,63,28,16000,41
29,0,63,28,0,41
28,0,63,29,0,41
43,0,63,29,0,42
29,16000,64,28,0,42
29,0,64,28,0,42
29,15000,64,28,0,42
31,0,64,29,0,42
29,0,64,28,0,42
30,0,64,28,0,42
29,0,64,29,0,42
29,0,65,30,0,43
29,0,65,28,0,43
29,0,65,29,0,43
29,0,65,29,0,43
30,16000,65,28,0,43
30,0,66,29,0,43
31,0,66,31,0,43
31,0,66,30,0,43
28,0,66,29,0,43
29,0,66,27,0,44
28,0,66,29,0,44
30,0,66,29,0,44
28,0,67,28,0,44
30,16000,67,28,0,44
29,0,67,29,0,44
29,0,67,28,0,44
29,0,67,28,0,44
29,0,67,29,0,45
29,0,67,27,0,45
28,0,68,29,0,45
28,0,68,28,0,45
29,0,68,41,0,45
29,0,68,29,0,45
30,0,68,28,0,45
32,0,68,28,0,45
29,0,68,29,0,46
30,0,69,29,0,46
38,0,69,28,0,46
29,0,69,29,0,46
29,0,69,28,0,46
30,0,69,29,0,46
30,0,69,28,0,46
30,0,70,28,0,46
30,0,70,29,0,46
30,0,70,28,15000,47
30,15000,70,28,0,47
30,0,70,29,0,47
29,0,70,30,0,47
28,0,70,30,0,47
29,0,71,30,16000,47
29,0,71,29,0,47
29,0,71,28,0,47
29,16000,71,29,0,48
29,0,71,28,16000,48
41,0,71,29,0,48
30,0,71,28,0,48
28,0,72,28,0,48
29,0,72,28,0,48
28,0,72,28,0,48
29,0,72,28,0,48
32,15000,31,29,16000,49
31,0,32,29,0,39
30,0,32,28,0,39
29,0,32,29,0,39
30,0,32,28,0,39
29,16000,32,28,0,39
32,16000,32,28,0,39
31,0,32,28,0,40
29,0,32,29,0,40
29,0,32,28,0,40
30,15000,32,28,0,40
30,0,33,39,0,40
30,0,33,29,0,40
35,0,33,29,0,40
30,0,33,32,0,40
31,0,33,29,0,41
41,15000,33,28,0,41
37,0,33,28,0,41
29,0,32,28,0,41
29,0,32,28,0,41
30,79000,31,28,0,41
42,0,31,28,0,41
29,0,31,28,0,41
29,0,31,30,0,42
31,31000,32,27,0,42
31,0,32,29,0,42
30,0,31,29,0,42
30,0,31,28,0,42
29,0,31,28,0,42
29,0,31,30,0,42
29,0,32,53,0,42
29,0,32,42,0,42
34,0,31,30,0,43
69,0,31,29,0,43
29,0,31,29,0,43
29,0,32,28,0,43
29,0,32,28,0,43
29,0,32,29,0,43
30,16000,31,28,0,43
30,31000,30,35,0,43
29,0,30,32,0,44
30,16000,30,35,0,44
29,0,30,30,0,44
30,16000,31,27,0,44
29,0,31,28,0,44
38,0,31,28,0,44
29,0,30,28,0,44
30,0,30,29,0,44
32,0,31,36,0,44
29,0,31,27,0,45
30,0,31,28,0,45
32,0,30,46,0,45
28,0,30,28,16000,45
30,0,31,29,0,45
29,0,31,28,0,45
30,0,31,28,0,45
30,0,31,28,0,45
29,15000,30,29,0,46
29,0,31,28,0,46
29,0,31,28,0,46
28,0,31,28,0,46
30,0,31,29,0,46
29,0,31,28,0,46
30,0,31,28,0,46
29,0,31,29,0,46
29,15000,31,29,0,46
29,0,31,28,0,47
32,0,31,28,0,47
30,0,31,28,16000,47
29,0,31,28,0,47
30,0,31,28,0,47
29,0,31,28,0,47
29,16000,31,28,0,47
30,0,31,28,0,47
30,16000,31,29,0,47
29,15000,31,28,0,48
29,0,31,29,0,48
30,0,31,28,0,48
30,0,31,28,16000,48
56,0,31,28,0,48
30,0,31,28,0,48
30,0,31,28,0,48
32,0,31,28,0,49
44,16000,31,28,15000,49
36,15000,31,28,0,49
31,16000,32,28,0,49
