Res_Time_GQL,Cpu_usage_GQL,Ram_Usage_GQL,Res_Time_Rest,Cpu_usage_Rest,Ram_Usage_Rest
86,31000,323,61,0,325
34,0,323,34,0,326
32,0,323,31,0,326
30,0,324,31,0,326
35,0,324,32,0,326
63,0,324,29,0,326
34,16000,324,29,0,326
32,0,324,29,0,327
33,0,324,33,0,327
31,0,325,30,0,327
31,0,325,35,0,327
35,0,325,29,0,327
39,0,325,29,0,327
32,0,326,30,0,327
31,0,326,32,0,328
44,0,326,30,0,328
31,16000,326,29,16000,328
30,0,326,29,0,328
31,0,326,29,15000,328
30,0,327,29,0,328
31,0,327,29,0,329
30,0,327,29,0,329
30,0,327,56,0,329
30,0,327,29,16000,329
30,0,328,29,0,329
29,0,328,30,0,329
30,15000,328,37,0,329
29,0,328,28,0,329
30,0,328,28,0,330
30,0,329,29,0,330
30,0,329,28,0,330
29,0,317,33,0,330
30,0,318,29,16000,330
29,0,318,28,0,330
29,0,318,47,15000,330
30,16000,318,52,16000,331
29,0,318,30,0,331
31,0,318,29,0,331
31,0,319,28,0,331
30,0,319,35,0,331
30,16000,319,29,0,331
29,0,319,29,16000,331
29,0,319,29,0,331
32,0,319,29,0,332
29,0,320,28,0,332
29,0,320,29,0,332
30,0,320,28,0,332
29,0,320,28,0,332
30,0,320,29,0,332
32,0,320,29,0,332
30,0,320,28,0,333
29,15000,321,30,0,333
38,0,321,29,0,333
29,16000,321,28,0,333
31,0,321,29,15000,333
30,0,321,29,0,333
30,0,321,28,0,333
29,16000,322,29,0,324
30,0,322,29,0,324
30,0,322,29,0,324
29,0,322,30,0,324
30,0,322,29,0,324
29,0,322,28,0,324
29,16000,323,29,0,325
30,0,323,28,0,325
30,15000,323,29,0,325
30,0,323,28,0,325
29,0,323,29,0,325
32,0,323,29,0,325
30,0,324,40,0,325
31,0,324,29,0,326
29,0,324,28,0,326
30,0,324,31,0,326
30,0,324,30,0,326
30,0,324,34,0,326
30,0,325,29,0,326
30,0,325,29,0,326
30,0,325,29,0,326
29,0,325,29,0,327
30,15000,325,28,0,327
29,0,325,29,0,327
30,0,326,28,0,327
29,0,326,28,0,327
29,0,326,29,15000,327
29,0,326,28,0,327
30,16000,326,28,0,328
28,0,327,29,0,328
44,0,327,29,0,328
29,0,327,29,0,328
29,0,327,28,0,328
31,0,327,29,0,328
29,0,327,28,0,328
29,0,328,28,0,329
30,0,328,29,0,329
29,0,328,29,0,329
29,0,328,29,15000,329
29,0,328,29,0,329
30,0,328,28,0,329
29,0,328,29,0,330
29,0,329,29,0,330
30,0,329,29,0,330
30,0,329,29,0,330
35,0,329,29,16000,330
29,0,329,29,0,330
30,16000,329,28,16000,330
29,0,330,28,0,330
29,0,330,29,0,331
29,16000,320,31,0,331
30,0,320,29,0,331
30,0,320,28,0,331
30,0,320,30,0,331
30,0,320,28,16000,331
29,0,320,28,0,331
29,0,320,29,0,332
29,0,321,28,0,332
29,0,321,29,0,332
30,0,321,28,0,332
30,31000,321,29,16000,332
28,0,321,28,0,332
29,0,321,29,0,332
30,0,322,28,0,332
29,0,322,28,0,333
29,0,322,29,15000,333
29,15000,322,29,0,333
37,0,322,29,0,333
29,0,322,29,0,333
29,0,323,29,0,333
49,0,323,28,0,333
29,0,323,28,0,334
29,0,323,29,0,334
29,0,323,28,0,334
29,0,323,29,0,334
29,0,324,28,16000,334
30,0,324,28,0,334
29,0,324,28,0,334
28,0,324,29,0,334
29,0,324,28,0,335
29,0,324,28,15000,335
30,0,324,29,0,335
29,0,325,55,0,335
29,0,325,29,0,335
30,16000,325,28,0,326
30,0,325,29,0,326
31,0,325,28,16000,326
30,0,326,35,0,326
30,16000,326,28,0,326
32,15000,326,29,0,327
31,0,326,42,0,327
29,16000,326,28,0,327
30,15000,326,29,0,327
29,0,327,29,0,327
29,0,327,29,0,327
30,0,327,29,0,327
28,0,327,28,0,327
30,0,327,29,0,328
29,0,327,29,0,328
29,0,328,29,0,328
32,0,328,29,15000,328
28,0,328,28,0,328
29,0,328,29,0,328
42,0,328,29,0,328
29,0,328,29,0,328
29,0,329,29,0,329
37,16000,329,29,0,329
30,0,329,29,0,329
30,0,329,29,0,329
29,0,329,28,0,329
29,0,329,28,0,329
29,0,330,28,0,330
31,0,330,29,0,330
29,0,330,28,0,330
29,0,330,32,0,330
30,0,330,29,0,330
29,0,330,28,0,330
29,0,331,28,0,330
30,0,331,29,0,331
29,15000,321,29,0,331
31,0,322,29,0,331
30,0,322,28,0,331
30,0,322,28,0,331
29,0,322,29,0,331
33,0,322,41,0,331
30,0,322,28,0,331
29,0,323,28,0,332
29,0,323,51,0,332
29,0,323,29,0,332
29,0,323,28,0,332
29,0,323,30,0,332
30,0,323,29,0,332
29,0,324,28,0,333
30,0,324,29,0,333
29,0,324,29,0,333
30,0,324,29,0,333
29,0,324,29,0,333
34,0,324,28,0,333
30,0,325,29,0,333
29,0,325,29,31000,333
30,0,325,28,0,334
29,0,325,28,0,334
29,0,325,28,0,334
